datetime,US_GON_PRL_Actual,US_GON_PRL_Srv_Med,US_GON_PRL_Revised,US_GON_PRL_Prior
2005-09-01 17:00:00,6.0,,94.0,94.0
2005-08-01 17:00:00,94.0,,-18.0,-18.0
2005-07-01 17:00:00,-18.0,,27.0,27.0
2005-06-01 17:00:00,27.0,,14.0,14.0
2005-05-01 17:00:00,14.0,,-4.0,-4.0
2005-04-01 17:00:00,-4.0,,9.0,9.0
2005-03-01 17:00:00,9.0,,42.0,42.0
2005-02-01 17:00:00,42.0,,1.0,1.0
2005-01-01 17:00:00,1.0,,36.0,36.0
2004-12-01 17:00:00,36.0,,21.0,21.0
2004-11-01 17:00:00,21.0,,9.0,9.0
2004-10-01 17:00:00,9.0,,20.0,20.0
2004-09-01 17:00:00,20.0,,5.0,5.0
2004-08-01 17:00:00,5.0,,-13.0,-13.0
2004-07-01 17:00:00,-13.0,,0.0,0.0
2004-06-01 17:00:00,0.0,,26.0,26.0
2004-05-01 17:00:00,26.0,,38.0,38.0
2004-04-01 17:00:00,38.0,,12.0,12.0
2004-03-01 17:00:00,12.0,,-8.0,-8.0
2004-02-01 17:00:00,-8.0,,11.0,11.0
2004-01-01 17:00:00,11.0,,-23.0,-23.0
2003-12-01 17:00:00,-23.0,,54.0,54.0
2003-11-01 17:00:00,54.0,,-52.0,-52.0
2003-10-01 17:00:00,-52.0,,-77.0,-77.0
2003-09-01 17:00:00,-77.0,,27.0,27.0
2003-08-01 17:00:00,27.0,,39.0,39.0
2003-07-01 17:00:00,39.0,,-28.0,-28.0
2003-06-01 17:00:00,-28.0,,-15.0,-15.0
2003-05-01 17:00:00,-15.0,,-14.0,-14.0
2003-04-01 17:00:00,-14.0,,-2.0,-2.0
2003-03-01 17:00:00,-2.0,,38.0,38.0
2003-02-01 17:00:00,38.0,,7.0,7.0
2003-01-01 17:00:00,7.0,,22.0,22.0
2002-12-01 17:00:00,22.0,,13.0,13.0
2002-11-01 17:00:00,13.0,,-43.0,-43.0
2002-10-01 17:00:00,-43.0,,45.0,45.0
2002-09-01 17:00:00,45.0,,-5.0,-5.0
2002-08-01 17:00:00,-5.0,,35.0,35.0
2002-07-01 17:00:00,35.0,,71.0,71.0
2002-06-01 17:00:00,71.0,,12.0,12.0
2002-05-01 17:00:00,12.0,,41.0,41.0
2002-04-01 17:00:00,41.0,,13.0,13.0
2002-03-01 17:00:00,13.0,,22.0,22.0
2002-02-01 17:00:00,22.0,,29.0,29.0
2002-01-01 17:00:00,29.0,,51.0,51.0
2001-12-01 17:00:00,51.0,,33.0,33.0
2001-11-01 17:00:00,33.0,,24.0,24.0
2001-10-01 17:00:00,24.0,,33.0,33.0
2001-09-01 17:00:00,33.0,,48.0,48.0
2001-08-01 17:00:00,48.0,,108.0,108.0
2001-07-01 17:00:00,108.0,,37.0,37.0
2001-06-01 17:00:00,37.0,,47.0,47.0
2001-05-01 17:00:00,47.0,,39.0,39.0
2001-04-01 17:00:00,39.0,,71.0,71.0
2001-03-01 17:00:00,71.0,,31.0,31.0
2001-02-01 17:00:00,31.0,,44.0,44.0
2001-01-01 17:00:00,44.0,,17.0,17.0
2000-12-01 17:00:00,17.0,,8.0,8.0
2000-11-01 17:00:00,8.0,,-102.0,-102.0
2000-10-01 17:00:00,-102.0,,-30.0,-30.0
2000-09-01 17:00:00,-30.0,,-20.0,-20.0
2000-08-01 17:00:00,-20.0,,-260.0,-260.0
2000-07-01 17:00:00,-260.0,,345.0,345.0
2000-06-01 17:00:00,345.0,,69.0,69.0
2000-05-01 17:00:00,69.0,,134.0,134.0
2000-04-01 17:00:00,134.0,,28.0,28.0
2000-03-01 17:00:00,28.0,,31.0,31.0
2000-02-01 17:00:00,31.0,,44.0,44.0
2000-01-01 17:00:00,44.0,,39.0,39.0
1999-12-01 17:00:00,39.0,,53.0,53.0
1999-11-01 17:00:00,53.0,,29.0,29.0
1999-10-01 17:00:00,29.0,,36.0,36.0
1999-09-01 17:00:00,36.0,,67.0,67.0
1999-08-01 17:00:00,67.0,,43.0,43.0
1999-07-01 17:00:00,43.0,,-8.0,-8.0
1999-06-01 17:00:00,-8.0,,69.0,69.0
1999-05-01 17:00:00,69.0,,24.0,24.0
1999-04-01 17:00:00,24.0,,60.0,60.0
1999-03-01 17:00:00,60.0,,5.0,5.0
1999-02-01 17:00:00,5.0,,35.0,35.0
1999-01-01 17:00:00,35.0,,43.0,43.0
1998-12-01 17:00:00,43.0,,16.0,16.0
1998-11-01 17:00:00,16.0,,26.0,26.0
1998-10-01 17:00:00,26.0,,29.0,29.0
1998-09-01 17:00:00,29.0,,51.0,51.0
1998-08-01 17:00:00,51.0,,4.0,4.0
1998-07-01 17:00:00,4.0,,59.0,59.0
1998-06-01 17:00:00,59.0,,24.0,24.0
1998-05-01 17:00:00,24.0,,6.0,6.0
1998-04-01 17:00:00,6.0,,16.0,16.0
1998-03-01 17:00:00,16.0,,4.0,4.0
1998-02-01 17:00:00,4.0,,5.0,5.0
