datetime,US_DED_MoM_Actual,US_DED_MoM_Srv_Med,US_DED_MoM_Revised,US_DED_MoM_Prior
2006-11-01 17:00:00,-5.70,,10.4,10.40
2006-10-01 17:00:00,10.40,,-1.2,-1.20
2006-09-01 17:00:00,-1.20,,-3.1,-3.10
2006-08-01 17:00:00,-3.10,,0.6,0.60
2006-07-01 17:00:00,0.60,,1.2,1.20
2006-06-01 17:00:00,1.20,,-5.5,-5.50
2006-05-01 17:00:00,-5.50,,5.4,5.40
2006-04-01 17:00:00,5.40,,1.6,1.60
2006-03-01 17:00:00,1.60,,-3.6,-3.60
2006-02-01 17:00:00,-3.60,,-1.8,-1.80
2006-01-01 17:00:00,-1.80,,7.0,7.00
2005-12-01 17:00:00,7.00,,1.9,1.90
2005-11-01 17:00:00,1.90,,-0.8,-0.80
2005-10-01 17:00:00,-0.80,,4.7,4.70
2005-09-01 17:00:00,4.70,,-5.3,-5.30
2005-08-01 17:00:00,-5.30,,0.9,0.90
2005-07-01 17:00:00,0.90,,5.9,5.90
2005-06-01 17:00:00,5.90,,3.9,3.90
2005-05-01 17:00:00,3.90,,-4.5,-4.50
2005-04-01 17:00:00,-4.50,,1.1,1.10
2005-03-01 17:00:00,1.10,,0.5,0.50
2005-02-01 17:00:00,0.50,,0.6,0.60
2005-01-01 17:00:00,0.60,,4.7,4.70
2004-12-01 17:00:00,4.70,,-1.7,-1.70
2004-11-01 17:00:00,-1.70,,1.0,1.00
2004-10-01 17:00:00,1.00,,-1.0,-1.00
2004-09-01 17:00:00,-1.00,,1.8,1.80
2004-08-01 17:00:00,1.80,,0.4,0.40
2004-07-01 17:00:00,0.40,,0.3,0.30
2004-06-01 17:00:00,0.30,,-3.7,-3.70
2004-05-01 17:00:00,-3.70,,6.0,6.00
2004-04-01 17:00:00,6.00,,1.9,1.90
2004-03-01 17:00:00,1.90,,-1.1,-1.10
2004-02-01 17:00:00,-1.10,,-2.0,-2.00
2004-01-01 17:00:00,-2.00,,0.0,0.00
2003-12-01 17:00:00,0.00,,2.1,2.10
2003-11-01 17:00:00,2.10,,3.8,3.80
2003-10-01 17:00:00,3.80,,-0.9,-0.90
2003-09-01 17:00:00,-0.90,,-0.5,-0.50
2003-08-01 17:00:00,-0.50,,2.6,2.60
2003-07-01 17:00:00,2.60,,1.7,1.70
2003-06-01 17:00:00,1.70,,-2.4,-2.40
2003-05-01 17:00:00,-2.40,,-0.4,-0.40
2003-04-01 17:00:00,-0.40,,0.7,0.70
2003-03-01 17:00:00,0.70,,4.5,4.50
2003-02-01 17:00:00,4.50,,-5.3,-5.30
2003-01-01 17:00:00,-5.30,,0.7,0.70
2002-12-01 17:00:00,0.70,,2.3,2.30
2002-11-01 17:00:00,2.30,,-6.1,-6.10
2002-10-01 17:00:00,-6.10,,2.9,2.90
2002-09-01 17:00:00,2.90,,3.6,3.60
2002-08-01 17:00:00,3.60,,-4.4,-4.40
2002-07-01 17:00:00,-4.40,,1.4,1.40
2002-06-01 17:00:00,1.40,,3.9,3.90
