datetime,CAD_EC_MoM_Actual,CAD_EC_MoM_Srv_Med,CAD_EC_MoM_Revised,CAD_EC_MoM_Prior
3/7/2008 20:00,43.3,3,46.4,25.9
2/1/2008 17:00,25.9,,3.4,3.4
1/1/2008 17:00,3.4,,16.4,16.4
12/1/2007 17:00,16.4,,55.6,55.6
11/1/2007 17:00,55.6,,45,45
10/1/2007 17:00,45,,7.7,7.7
9/1/2007 17:00,7.7,,42.7,42.7
8/1/2007 17:00,42.7,,57.3,57.3
7/1/2007 17:00,57.3,,23.1,23.1
6/1/2007 17:00,23.1,,-15,-15
5/1/2007 17:00,-15,,48.1,48.1
4/1/2007 17:00,48.1,,21.1,21.1
3/1/2007 17:00,21.1,,54,54
2/1/2007 17:00,54,,64.3,64.3
1/1/2007 17:00,64.3,,27.6,27.6
12/1/2006 17:00,27.6,,22.5,22.5
11/1/2006 17:00,22.5,,24.8,24.8
10/1/2006 17:00,24.8,,5.7,5.7
9/1/2006 17:00,5.7,,2.1,2.1
8/1/2006 17:00,2.1,,3.9,3.9
7/1/2006 17:00,3.9,,76.8,76.8
6/1/2006 17:00,76.8,,29.6,29.6
5/1/2006 17:00,29.6,,50.4,50.4
4/1/2006 17:00,50.4,,39,39
3/1/2006 17:00,39,,-12.8,-12.8
2/1/2006 17:00,-12.8,,-6.4,-6.4
1/1/2006 17:00,-6.4,,32.6,32.6
12/1/2005 17:00,32.6,,47.4,47.4
11/1/2005 17:00,47.4,,-13.4,-13.4
10/1/2005 17:00,-13.4,,35.4,35.4
9/1/2005 17:00,35.4,,33.4,33.4
8/1/2005 17:00,33.4,,30.2,30.2
7/1/2005 17:00,30.2,,-0.8,-0.8
6/1/2005 17:00,-0.8,,28,28
5/1/2005 17:00,28,,-3.9,-3.9
4/1/2005 17:00,-3.9,,36,36
3/1/2005 17:00,36,,-3,-3
2/1/2005 17:00,-3,,9.6,9.6
1/1/2005 17:00,9.6,,18.5,18.5
12/1/2004 17:00,18.5,,15.4,15.4
11/1/2004 17:00,15.4,,48.7,48.7
10/1/2004 17:00,48.7,,-8.3,-8.3
9/1/2004 17:00,-8.3,,7.9,7.9
8/1/2004 17:00,7.9,,12.4,12.4
7/1/2004 17:00,12.4,,28.7,28.7
6/1/2004 17:00,28.7,,42.7,42.7
5/1/2004 17:00,42.7,,11.8,11.8
4/1/2004 17:00,11.8,,19.6,19.6
3/1/2004 17:00,19.6,,4,4
2/1/2004 17:00,4,,30.1,30.1
1/1/2004 17:00,30.1,,41.2,41.2
12/1/2003 17:00,41.2,,51.3,51.3
11/1/2003 17:00,51.3,,31.1,31.1
10/1/2003 17:00,31.1,,2.4,2.4
9/1/2003 17:00,2.4,,21.9,21.9
8/1/2003 17:00,21.9,,48,48
7/1/2003 17:00,48,,-16.5,-16.5
6/1/2003 17:00,-16.5,,-1.3,-1.3
5/1/2003 17:00,-1.3,,-1.2,-1.2
4/1/2003 17:00,-1.2,,59.3,59.3
3/1/2003 17:00,59.3,,33.8,33.8
2/1/2003 17:00,33.8,,42.2,42.2
1/1/2003 17:00,42.2,,39.2,39.2
12/1/2002 17:00,39.2,,2.8,2.8
11/1/2002 17:00,2.8,,8.2,8.2
10/1/2002 17:00,8.2,,80.9,80.9
9/1/2002 17:00,80.9,,45.8,45.8
8/1/2002 17:00,45.8,,62.5,62.5
7/1/2002 17:00,62.5,,53.5,53.5
6/1/2002 17:00,53.5,,61.4,61.4
5/1/2002 17:00,61.4,,67.7,67.7
4/1/2002 17:00,67.7,,19,19
3/1/2002 17:00,19,,58.2,58.2
2/1/2002 17:00,58.2,,-24.7,-24.7
1/1/2002 17:00,-24.7,,13.4,13.4
12/1/2001 17:00,13.4,,4.1,4.1
11/1/2001 17:00,4.1,,24.3,24.3
10/1/2001 17:00,24.3,,2.2,2.2
9/1/2001 17:00,2.2,,23.8,23.8
8/1/2001 17:00,23.8,,-23.7,-23.7
7/1/2001 17:00,-23.7,,23.9,23.9
6/1/2001 17:00,23.9,,33.6,33.6
5/1/2001 17:00,33.6,,4.8,4.8
4/1/2001 17:00,4.8,,-10.5,-10.5
3/1/2001 17:00,-10.5,,-25.6,-25.6
2/1/2001 17:00,-25.6,,48.6,48.6
1/1/2001 17:00,48.6,,36.1,36.1
12/1/2000 17:00,36.1,,23.1,23.1
11/1/2000 17:00,23.1,,41.9,41.9
10/1/2000 17:00,41.9,,19.9,19.9
9/1/2000 17:00,19.9,,3.6,3.6
8/1/2000 17:00,3.6,,10.4,10.4
7/1/2000 17:00,10.4,,13.7,13.7
6/1/2000 17:00,13.7,,25.2,25.2
5/1/2000 17:00,25.2,,25.3,25.3
4/1/2000 17:00,25.3,,19.5,19.5
3/1/2000 17:00,19.5,,41.4,41.4
2/1/2000 17:00,41.4,,61.9,61.9
1/1/2000 17:00,61.9,,34.7,34.7
12/1/1999 17:00,34.7,,40.1,40.1
11/1/1999 17:00,40.1,,22.8,22.8
10/1/1999 17:00,22.8,,20.9,20.9
9/1/1999 17:00,20.9,,57.9,57.9
8/1/1999 17:00,57.9,,20.3,20.3
7/1/1999 17:00,20.3,,36.1,36.1
6/1/1999 17:00,36.1,,37.9,37.9
5/1/1999 17:00,37.9,,15.4,15.4
4/1/1999 17:00,15.4,,-10,-10
3/1/1999 17:00,-10,,73.3,73.3
2/1/1999 17:00,73.3,,1.1,1.1
1/1/1999 17:00,1.1,,39.5,39.5
12/1/1998 17:00,39.5,,18.7,18.7
11/1/1998 17:00,18.7,,39,39
10/1/1998 17:00,39,,37.9,37.9
9/1/1998 17:00,37.9,,58,58
8/1/1998 17:00,58,,12.5,12.5
7/1/1998 17:00,12.5,,15.7,15.7
6/1/1998 17:00,15.7,,28.2,28.2
5/1/1998 17:00,28.2,,34.9,34.9
4/1/1998 17:00,34.9,,49.7,49.7
3/1/1998 17:00,49.7,,-10.1,-10.1
2/1/1998 17:00,-10.1,,15.4,15.4
1/1/1998 17:00,15.4,,26.4,26.4
12/1/1997 17:00,26.4,,17.2,17.2
11/1/1997 17:00,17.2,,17,17
10/1/1997 17:00,17,,67.4,67.4
9/1/1997 17:00,67.4,,41.5,41.5
8/1/1997 17:00,41.5,,52.8,52.8
7/1/1997 17:00,52.8,,66,66
6/1/1997 17:00,66,,1.4,1.4
5/1/1997 17:00,1.4,,31.7,31.7
4/1/1997 17:00,31.7,,2.2,2.2
3/1/1997 17:00,2.2,,70.2,70.2
2/1/1997 17:00,70.2,,24.2,24.2
1/1/1997 17:00,24.2,,28.7,28.7
12/1/1996 17:00,28.7,,-1.6,-1.6
11/1/1996 17:00,-1.6,,-42.2,-42.2
10/1/1996 17:00,-42.2,,16.2,16.2
9/1/1996 17:00,16.2,,27.5,27.5
8/1/1996 17:00,27.5,,-12.7,-12.7
7/1/1996 17:00,-12.7,,21.5,21.5
6/1/1996 17:00,21.5,,26.9,26.9
5/1/1996 17:00,26.9,,-22.2,-22.2
4/1/1996 17:00,-22.2,,24.9,24.9
3/1/1996 17:00,24.9,,17.7,17.7
2/1/1996 17:00,17.7,,41.8,41.8
1/1/1996 17:00,41.8,,-32,-32
12/1/1995 17:00,-32,,15.8,15.8
11/1/1995 17:00,15.8,,33.4,33.4
10/1/1995 17:00,33.4,,17.2,17.2
9/1/1995 17:00,17.2,,2.4,2.4
8/1/1995 17:00,2.4,,12.4,12.4
7/1/1995 17:00,12.4,,-3.1,-3.1
6/1/1995 17:00,-3.1,,-21.6,-21.6
5/1/1995 17:00,-21.6,,28.2,28.2
4/1/1995 17:00,28.2,,-7.2,-7.2
3/1/1995 17:00,-7.2,,23.7,23.7
2/1/1995 17:00,23.7,,-13.4,-13.4
1/1/1995 17:00,-13.4,,90.4,90.4
12/1/1994 17:00,90.4,,-8.1,-8.1
11/1/1994 17:00,-8.1,,61.7,61.7
10/1/1994 17:00,61.7,,16.7,16.7
9/1/1994 17:00,16.7,,57,57
8/1/1994 17:00,57,,29.1,29.1
7/1/1994 17:00,29.1,,71.7,71.7
6/1/1994 17:00,71.7,,12.1,12.1
5/1/1994 17:00,12.1,,39.1,39.1
4/1/1994 17:00,39.1,,33.1,33.1
3/1/1994 17:00,33.1,,8,8
2/1/1994 17:00,8,,-25.5,-25.5
1/1/1994 17:00,-25.5,,48.6,48.6
12/1/1993 17:00,48.6,,-15.2,-15.2
11/1/1993 17:00,-15.2,,32.4,32.4
10/1/1993 17:00,32.4,,18.5,18.5
9/1/1993 17:00,18.5,,9.6,9.6
8/1/1993 17:00,9.6,,24.1,24.1
7/1/1993 17:00,24.1,,7.1,7.1
6/1/1993 17:00,7.1,,-31.9,-31.9
5/1/1993 17:00,-31.9,,17.5,17.5
4/1/1993 17:00,17.5,,8.2,8.2
3/1/1993 17:00,8.2,,33.1,33.1
2/1/1993 17:00,33.1,,17.1,17.1
1/1/1993 17:00,17.1,,-8.2,-8.2
12/1/1992 17:00,-8.2,,12.9,12.9
11/1/1992 17:00,12.9,,6.4,6.4
10/1/1992 17:00,6.4,,-38.8,-38.8
9/1/1992 17:00,-38.8,,15.2,15.2
8/1/1992 17:00,15.2,,-19.3,-19.3
7/1/1992 17:00,-19.3,,5.7,5.7
6/1/1992 17:00,5.7,,-14,-14
5/1/1992 17:00,-14,,-26.4,-26.4
4/1/1992 17:00,-26.4,,-18.9,-18.9
3/1/1992 17:00,-18.9,,-20,-20
2/1/1992 17:00,-20,,-13,-13
1/1/1992 17:00,-13,,-37.8,-37.8
12/1/1991 17:00,-37.8,,5.6,5.6
11/1/1991 17:00,5.6,,-20.8,-20.8
10/1/1991 17:00,-20.8,,3.9,3.9
9/1/1991 17:00,3.9,,-14,-14
8/1/1991 17:00,-14,,6.4,6.4
7/1/1991 17:00,6.4,,29.2,29.2
6/1/1991 17:00,29.2,,41.5,41.5
5/1/1991 17:00,41.5,,-35.9,-35.9
4/1/1991 17:00,-35.9,,-49.1,-49.1
3/1/1991 17:00,-49.1,,-40.5,-40.5
2/1/1991 17:00,-40.5,,-50.6,-50.6
1/1/1991 17:00,-50.6,,-54,-54
12/1/1990 17:00,-54,,-50.2,-50.2
11/1/1990 17:00,-50.2,,-10.8,-10.8
10/1/1990 17:00,-10.8,,-13.3,-13.3
9/1/1990 17:00,-13.3,,-20.8,-20.8
8/1/1990 17:00,-20.8,,32.5,32.5
7/1/1990 17:00,32.5,,-39.4,-39.4
6/1/1990 17:00,-39.4,,15.2,15.2
5/1/1990 17:00,15.2,,-8.8,-8.8
4/1/1990 17:00,-8.8,,33.5,33.5
3/1/1990 17:00,33.5,,34.6,34.6
2/1/1990 17:00,34.6,,7.1,7.1
1/1/1990 17:00,7.1,,25.2,25.2
12/1/1989 17:00,25.2,,5,5
11/1/1989 17:00,5,,0.4,0.4
10/1/1989 17:00,0.4,,49.3,49.3
9/1/1989 17:00,49.3,,0.4,0.4
8/1/1989 17:00,0.4,,17.2,17.2
7/1/1989 17:00,17.2,,2.3,2.3
6/1/1989 17:00,2.3,,-22.5,-22.5
5/1/1989 17:00,-22.5,,45.6,45.6
4/1/1989 17:00,45.6,,14.8,14.8
3/1/1989 17:00,14.8,,72.6,72.6
2/1/1989 17:00,72.6,,53.6,53.6
1/1/1989 17:00,53.6,,30.8,30.8
12/1/1988 17:00,30.8,,32.2,32.2
11/1/1988 17:00,32.2,,12.8,12.8
10/1/1988 17:00,12.8,,8.2,8.2
9/1/1988 17:00,8.2,,13.7,13.7
