datetime,EUR_CPI_MoM_Actual,EUR_CPI_MoM_Srv_Med,EUR_CPI_MoM_Revised,EUR_CPI_MoM_Prior,Is_P
2015-07-16 17:00:00,0.0,0.0,0.2,0.2,0.0
2015-06-17 17:00:00,0.2,0.2,0.2,0.2,0.0
2015-05-19 17:00:00,0.2,0.2,1.1,1.1,0.0
2015-04-17 17:00:00,1.1,1.1,0.6,0.6,0.0
2015-03-17 18:00:00,0.6,0.6,-1.6,-1.6,0.0
2015-02-24 18:00:00,-1.6,-1.6,-0.1,-0.1,0.0
2015-01-16 18:00:00,-0.1,-0.1,-0.2,-0.2,0.0
2014-12-17 18:00:00,-0.2,-0.2,0.0,0.0,0.0
2014-11-14 18:00:00,0.0,0.0,0.4,0.4,0.0
2014-10-16 17:00:00,0.4,0.4,0.1,0.1,0.0
2014-09-17 17:00:00,0.1,0.1,-0.7,-0.7,0.0
2014-08-14 17:00:00,-0.7,-0.6,0.1,0.1,0.0
2014-07-17 17:00:00,0.1,0.1,-0.1,-0.1,0.0
2014-06-16 17:00:00,-0.1,-0.1,0.2,0.2,0.0
2014-05-15 17:00:00,0.2,0.2,0.9,0.9,0.0
2014-04-16 17:00:00,0.9,1.0,0.3,0.3,0.0
2014-03-17 18:00:00,0.3,0.4,-1.1,-1.1,0.0
2014-02-24 18:00:00,-1.1,-1.1,0.3,0.3,0.0
2014-01-16 18:00:00,0.3,0.3,-0.1,-0.1,0.0
2013-12-17 18:00:00,-0.1,-0.1,-0.1,-0.1,0.0
2013-11-15 18:00:00,-0.1,-0.1,0.5,0.5,0.0
2013-10-16 17:00:00,0.5,0.5,0.1,0.1,0.0
2013-09-16 17:00:00,0.1,0.1,-0.5,-0.5,0.0
2013-08-16 17:00:00,-0.5,-0.5,0.1,0.1,0.0
2013-07-16 17:00:00,0.1,0.1,0.1,0.1,0.0
2013-06-14 17:00:00,0.1,0.1,-0.1,-0.10,0.0
2013-05-01 17:00:00,-0.10,,1.2,1.20,0.0
2013-04-01 17:00:00,1.20,,0.4,0.40,0.0
2013-03-01 17:00:00,0.40,,-1.0,-1.00,0.0
2013-02-01 17:00:00,-1.00,,0.4,0.40,0.0
2013-01-01 17:00:00,0.40,,-0.2,-0.20,0.0
2012-12-01 17:00:00,-0.20,,0.2,0.20,0.0
