datetime,US_NESMI_Actual,US_NESMI_Srv_Med,US_NESMI_Revised,US_NESMI_Prior
2006-03-01 17:00:00,20.87,,17.51,17.51
2006-02-01 17:00:00,17.51,,22.94,22.94
2006-01-01 17:00:00,22.94,,17.97,17.97
2005-12-01 17:00:00,17.97,,12.11,12.11
2005-11-01 17:00:00,12.11,,16.93,16.93
2005-10-01 17:00:00,16.93,,23.72,23.72
2005-09-01 17:00:00,23.72,,23.79,23.79
2005-08-01 17:00:00,23.79,,7.79,7.79
2005-07-01 17:00:00,7.79,,-4.92,-4.92
2005-06-01 17:00:00,-4.92,,8.29,8.29
2005-05-01 17:00:00,8.29,,24.27,24.27
2005-04-01 17:00:00,24.27,,17.14,17.14
2005-03-01 17:00:00,17.14,,15.54,15.54
2005-02-01 17:00:00,15.54,,21.61,21.61
2005-01-01 17:00:00,21.61,,15.28,15.28
2004-12-01 17:00:00,15.28,,24.57,24.57
2004-11-01 17:00:00,24.57,,28.39,28.39
2004-10-01 17:00:00,28.39,,15.23,15.23
2004-09-01 17:00:00,15.23,,34.97,34.97
2004-08-01 17:00:00,34.97,,27.04,27.04
2004-07-01 17:00:00,27.04,,36.96,36.96
2004-06-01 17:00:00,36.96,,38.99,38.99
2004-05-01 17:00:00,38.99,,32.64,32.64
2004-04-01 17:00:00,32.64,,36.98,36.98
2004-03-01 17:00:00,36.98,,32.47,32.47
2004-02-01 17:00:00,32.47,,27.37,27.37
2004-01-01 17:00:00,27.37,,33.95,33.95
2003-12-01 17:00:00,33.95,,36.79,36.79
2003-11-01 17:00:00,36.79,,20.39,20.39
2003-10-01 17:00:00,20.39,,15.55,15.55
2003-09-01 17:00:00,15.55,,19.33,19.33
2003-08-01 17:00:00,19.33,,25.13,25.13
2003-07-01 17:00:00,25.13,,15.67,15.67
2003-06-01 17:00:00,15.67,,-14.49,-14.49
2003-05-01 17:00:00,-14.49,,6.45,6.45
2003-04-01 17:00:00,6.45,,-3.54,-3.54
2003-03-01 17:00:00,-3.54,,8.1,8.1
2003-02-01 17:00:00,8.1,,2.38,2.38
2003-01-01 17:00:00,2.38,,3.97,3.97
2002-12-01 17:00:00,3.97,,-3.79,-3.79
2002-11-01 17:00:00,-3.79,,6.35,6.35
2002-10-01 17:00:00,6.35,,8.25,8.25
2002-09-01 17:00:00,8.25,,-1.86,-1.86
2002-08-01 17:00:00,-1.86,,8.91,8.91
2002-07-01 17:00:00,8.91,,12.93,12.93
2002-06-01 17:00:00,12.93,,20.18,20.18
2002-05-01 17:00:00,20.18,,13.8,13.8
2002-04-01 17:00:00,13.8,,13.3,13.3
2002-03-01 17:00:00,13.3,,1.41,1.41
2002-02-01 17:00:00,1.41,,-9.78,-9.78
2002-01-01 17:00:00,-9.78,,-21.51,-21.51
2001-12-01 17:00:00,-21.51,,-14.73,-14.73
2001-11-01 17:00:00,-14.73,,-12.48,-12.48
2001-10-01 17:00:00,-12.48,,-7.98,-7.98
2001-09-01 17:00:00,-7.98,,-13.29,
