datetime,JP_IO_MoM_Actual,JP_IO_MoM_Srv_Med,JP_IO_MoM_Revised,JP_IO_MoM_Prior,Is_P
2018-04-17 12:30:00,0.0,4.0,4.1,-6.8,0.0
2018-03-30 07:50:00,4.1,5.1,-6.8,-6.6,1.0
2018-03-16 12:30:00,-6.8,-6.6,-6.6,2.9,0.0
2018-02-28 07:50:00,-6.6,-4.1,2.9,2.7,1.0
2018-02-15 12:30:00,2.9,2.7,2.7,0.5,0.0
2018-01-31 07:50:00,2.7,1.5,0.5,0.6,1.0
2018-01-18 12:30:00,0.5,0.6,0.6,0.5,0.0
2017-12-28 07:50:00,0.6,0.5,0.5,0.5,1.0
2017-12-14 12:30:00,0.5,0.5,0.5,-1.0,0.0
2017-11-30 07:50:00,0.5,1.9,-1.0,-1.1,1.0
2017-11-15 12:30:00,-1.0,-1.1,-1.1,2.0,0.0
2017-10-31 07:50:00,-1.1,-1.5,2.0,2.1,1.0
2017-10-16 12:30:00,2.0,2.1,2.1,-0.8,0.0
2017-09-29 07:50:00,2.1,1.9,-0.8,-0.8,1.0
2017-09-14 12:30:00,-0.8,-0.8,-0.8,2.2,0.0
2017-08-31 07:50:00,-0.8,-0.5,2.2,1.6,1.0
2017-08-15 12:30:00,2.2,1.6,1.6,-3.6,0.0
2017-07-31 07:50:00,1.6,1.7,-3.6,-3.3,1.0
2017-07-14 12:30:00,-3.6,-3.3,-3.3,4.0,0.0
2017-06-30 07:50:00,-3.3,-3.2,4.0,4.0,1.0
2017-06-14 12:30:00,4.0,4.0,4.0,-1.9,0.0
2017-05-31 07:50:00,4.0,4.3,-1.9,-2.1,1.0
2017-05-17 12:30:00,-1.9,-2.1,-2.1,3.2,0.0
2017-04-28 07:50:00,-2.1,-0.8,3.2,2.0,1.0
2017-04-14 12:30:00,3.2,2.0,2.0,-0.4,0.0
2017-03-31 07:50:00,2.0,1.2,-0.4,-0.8,1.0
2017-03-15 12:30:00,-0.4,-0.8,-0.8,0.7,0.0
2017-02-28 07:50:00,-0.8,0.3,0.7,0.5,1.0
2017-02-14 12:30:00,0.7,0.5,0.5,1.5,0.0
2017-01-31 07:50:00,0.5,0.3,1.5,1.5,1.0
2017-01-17 12:30:00,1.5,1.5,1.5,0.0,0.0
2016-12-28 07:50:00,1.5,1.6,0.0,0.1,1.0
2016-12-14 12:30:00,0.0,0.1,0.0,0.6,0.0
2016-11-30 07:50:00,0.1,-0.1,0.6,0.0,1.0
2016-11-14 12:30:00,0.6,0.0,0.0,1.3,0.0
2016-10-31 07:50:00,0.0,1.0,1.3,1.5,1.0
2016-10-17 12:30:00,1.3,1.5,1.3,-0.4,0.0
2016-09-30 07:50:00,1.5,0.5,-0.4,0.0,1.0
2016-09-14 12:30:00,-0.4,0.0,0.0,2.3,0.0
2016-08-31 07:50:00,0.0,0.8,2.3,1.9,1.0
2016-08-15 12:30:00,2.3,1.9,1.9,-2.6,0.0
2016-07-29 07:50:00,1.9,0.7,-2.6,-2.3,1.0
2016-07-13 12:30:00,-2.6,-2.2,-2.3,0.5,0.0
2016-06-30 07:50:00,-2.3,-0.1,0.5,0.3,1.0
2016-06-14 12:30:00,0.5,0.4,0.3,3.8,0.0
2016-05-31 07:50:00,0.3,-1.5,3.8,3.6,1.0
2016-05-17 12:30:00,3.8,3.6,3.6,-5.2,0.0
2016-04-28 07:50:00,3.6,2.9,-5.2,-6.2,1.0
2016-04-15 12:30:00,-5.2,-6.2,-6.2,3.7,0.0
2016-03-30 07:50:00,-6.2,-6.0,3.7,3.7,1.0
2016-03-15 12:30:00,3.7,3.7,3.7,-1.7,0.0
2016-02-29 07:50:00,3.7,3.3,-1.7,-1.4,1.0
2016-02-15 12:30:00,-1.7,-1.3,-1.4,-0.9,0.0
2016-01-29 07:50:00,-1.4,-0.3,-0.9,-1.0,1.0
2016-01-18 12:30:00,-0.9,-1.0,-1.0,1.4,0.0
2015-12-28 07:50:00,-1.0,-0.6,1.4,1.4,1.0
2015-12-14 12:30:00,1.4,1.4,1.4,1.1,0.0
2015-11-30 07:50:00,1.4,1.9,1.1,1.0,1.0
2015-11-13 12:30:00,1.1,1.0,1.0,-1.2,0.0
2015-10-29 07:50:00,1.0,-0.5,-1.2,-0.5,1.0
2015-10-15 12:30:00,-1.2,-0.5,-0.5,-0.8,0.0
2015-09-30 07:50:00,-0.5,1.0,-0.8,-0.6,1.0
2015-09-14 12:30:00,-0.8,-0.6,-0.6,1.1,0.0
2015-08-31 07:50:00,-0.6,0.1,1.1,0.8,1.0
2015-08-12 12:30:00,1.1,0.8,0.8,-2.1,0.0
2015-07-30 07:50:00,0.8,0.3,-2.1,-2.2,1.0
2015-07-13 12:30:00,-2.1,-2.1,-2.2,1.2,0.0
2015-06-29 07:50:00,-2.2,-0.8,1.2,1.0,1.0
2015-06-12 12:30:00,1.2,1.0,1.0,-0.8,0.0
2015-05-29 07:50:00,1.0,0.8,-0.8,-0.3,1.0
2015-05-18 12:30:00,-0.8,-0.3,-0.3,-3.1,0.0
2015-04-30 07:50:00,-0.3,-2.3,-3.1,-3.4,1.0
2015-04-15 12:30:00,-3.1,-3.1,-3.4,3.7,0.0
2015-03-30 07:50:00,-3.4,-1.8,3.7,4.0,1.0
2015-03-13 12:30:00,3.7,4.0,4.0,0.8,0.0
2015-02-27 07:50:00,4.0,2.7,0.8,1.0,1.0
2015-02-16 12:30:00,0.8,1.0,1.0,-0.5,0.0
2015-01-30 07:50:00,1.0,1.3,-0.5,-0.6,1.0
2015-01-19 12:30:00,-0.5,-0.6,-0.6,0.4,0.0
2014-12-26 07:50:00,-0.6,1.0,0.4,0.2,1.0
2014-12-12 12:30:00,0.4,0.2,0.2,2.9,0.0
2014-11-28 07:50:00,0.2,-0.4,2.9,2.7,1.0
2014-11-13 12:30:00,2.9,2.7,2.7,-1.9,0.0
2014-10-29 07:50:00,2.7,2.2,-1.9,-1.5,1.0
2014-10-15 12:30:00,-1.9,-1.5,-1.5,0.4,0.0
2014-09-30 07:50:00,-1.5,0.2,0.4,0.2,1.0
2014-09-12 12:30:00,0.4,0.2,0.2,-3.4,0.0
2014-08-29 07:50:00,0.2,1.0,-3.4,-3.3,1.0
2014-08-12 12:30:00,-3.4,-3.3,-3.3,0.7,0.0
2014-07-30 07:50:00,-3.3,-1.2,0.7,0.5,1.0
2014-07-14 12:30:00,0.7,0.5,0.5,-2.8,0.0
2014-06-30 07:50:00,0.5,0.9,-2.8,-2.5,1.0
2014-06-13 12:30:00,-2.8,-2.5,-2.5,0.7,0.0
2014-05-30 07:50:00,-2.5,-2.0,0.7,0.3,1.0
2014-05-16 12:30:00,0.7,0.3,0.3,-2.3,0.0
2014-04-30 07:50:00,0.3,0.5,-2.3,-2.3,1.0
2014-04-16 12:30:00,-2.3,-2.3,-2.3,3.8,0.0
2014-03-31 07:50:00,-2.3,0.3,3.8,4.0,1.0
2014-03-14 12:30:00,3.8,4.0,4.0,0.9,0.0
2014-02-28 07:50:00,4.0,3.0,0.9,1.1,1.0
2014-02-17 12:30:00,0.9,1.1,1.1,-0.1,0.0
2014-01-31 07:50:00,1.1,1.2,-0.1,0.1,1.0
2014-01-20 12:30:00,-0.1,0.1,0.1,1.0,0.0
2013-12-27 07:50:00,0.1,0.4,1.0,0.5,1.0
2013-12-13 12:30:00,1.0,0.5,0.5,-0.9,0.0
2013-11-29 07:50:00,0.5,2.0,1.3,1.5,1.0
2013-10-30 07:50:00,1.5,1.8,-0.9,-0.7,1.0
2013-10-15 12:30:00,-0.9,-0.7,-0.7,3.4,0.0
2013-09-30 07:50:00,-0.7,-0.4,3.4,3.2,1.0
2013-09-13 12:30:00,3.4,3.2,3.2,-3.2,0.0
2013-08-30 07:50:00,3.2,3.7,-3.1,-4.6,1.0
