datetime,UK_PPINSA_YoY_Actual,UK_PPINSA_YoY_Srv_Med,UK_PPINSA_YoY_Revised,UK_PPINSA_YoY_Prior
2017-08-15 16:30:00,3.2,3.1,3.3,3.3
2017-07-18 16:30:00,3.3,3.3,3.6,3.6
2017-06-13 16:30:00,3.6,3.6,3.6,3.6
2017-05-16 16:30:00,3.6,3.4,3.6,3.6
2017-04-11 16:30:00,3.6,3.3,3.7,3.7
2017-03-21 17:30:00,3.7,3.7,3.6,3.5
2017-02-14 17:30:00,3.5,3.2,2.8,2.7
2017-01-17 17:30:00,2.7,2.9,2.4,2.3
2016-12-13 17:30:00,2.3,2.5,2.1,2.1
2016-11-15 17:30:00,2.1,1.7,1.3,1.2
2016-10-18 16:30:00,1.2,1.1,0.9,0.8
2016-09-13 16:30:00,0.8,1.0,0.3,0.3
2016-08-16 16:30:00,0.3,0.0,-0.2,-0.4
2016-07-19 16:30:00,-0.4,-0.5,-0.6,-0.7
2016-06-14 16:30:00,-0.7,-0.5,-0.7,-0.7
2016-05-17 16:30:00,-0.7,-0.8,-0.9,-0.9
2016-04-12 16:30:00,-0.9,-1.0,-1.1,-1.1
2016-03-22 17:30:00,-1.1,-1.2,-1.0,-1.0
2016-02-16 17:30:00,-1.0,-0.9,-1.4,-1.2
2016-01-19 17:30:00,-1.2,-1.2,-1.5,-1.5
2015-12-15 17:30:00,-1.5,-1.3,-1.4,-1.3
2015-11-17 17:30:00,-1.3,-1.3,-1.8,-1.8
2015-10-13 16:30:00,-1.8,-1.8,-1.9,-1.8
2015-09-15 16:30:00,-1.8,-1.7,-1.6,-1.6
2015-08-18 16:30:00,-1.6,-1.5,-1.6,-1.5
2015-07-14 16:30:00,-1.5,-1.5,-1.6,-1.6
2015-06-16 16:30:00,-1.6,-1.6,-1.7,-1.7
2015-05-19 16:30:00,-1.7,-1.6,-1.7,-1.7
2015-04-14 16:30:00,-1.7,-1.8,-1.7,-1.8
2015-03-24 17:30:00,-1.8,-1.9,-1.9,-1.8
2015-02-17 17:30:00,-1.8,-1.4,-1.1,-0.8
2015-01-13 17:30:00,-0.8,-0.4,-0.6,-0.1
2014-12-16 17:30:00,-0.1,-0.5,-0.5,-0.5
2014-11-18 17:30:00,-0.5,-0.2,-0.5,-0.4
2014-10-14 16:30:00,-0.4,-0.3,-0.3,-0.3
2014-09-16 16:30:00,-0.3,-0.2,-0.1,-0.1
2014-08-19 16:30:00,-0.1,0.3,0.3,0.2
2014-07-15 16:30:00,0.2,0.5,0.5,0.5
2014-06-17 16:30:00,0.5,0.7,0.6,0.6
2014-05-20 16:30:00,0.6,0.7,0.5,0.5
2014-04-15 16:30:00,0.5,0.3,0.6,0.5
2014-03-25 17:30:00,0.5,0.7,0.9,0.9
2014-02-18 17:30:00,0.9,0.7,1.0,1.0
2014-01-14 17:30:00,1.0,1.1,0.8,0.8
2013-12-17 17:30:00,0.8,0.9,0.8,0.8
2013-11-12 17:30:00,0.8,1.0,1.2,1.2
2013-10-15 16:30:00,1.2,1.3,1.7,1.6
2013-09-17 16:30:00,1.6,1.8,2.1,2.1
2013-08-13 16:30:00,2.1,2.1,2.0,2.0
2013-07-16 16:30:00,2.0,1.9,1.2,1.2
2013-06-18 16:30:00,1.2,1.4,0.9,1.1
2013-05-21 16:30:00,1.1,1.5,1.9,2.0
2013-04-16 16:30:00,2.0,2.0,2.3,2.3
2013-03-19 17:30:00,2.3,1.8,2.1,2.0
2013-02-12 17:30:00,2.0,2.0,2.2,2.2
2013-01-15 17:30:00,2.2,2.4,2.1,2.2
2012-12-18 17:30:00,2.2,2.5,2.6,2.5
2012-11-13 17:30:00,2.5,2.6,2.5,2.5
2012-10-16 16:30:00,2.5,2.2,2.3,2.2
2012-09-07 16:30:00,2.2,1.9,1.8,1.7
2012-08-10 16:30:00,1.7,2.1,2.0,2.3
2012-07-06 16:30:00,2.3,2.4,2.9,2.8
2012-06-08 16:30:00,2.8,3.2,3.2,3.3
2012-05-11 16:30:00,3.3,2.9,3.7,2.90
2012-04-01 17:00:00,2.90,None,3.40,3.40
2012-03-01 17:00:00,3.40,None,3.50,3.50
2012-02-01 17:00:00,3.50,None,4.00,4.00
2012-01-01 17:00:00,4.00,None,4.60,4.60
2011-12-01 17:00:00,4.60,None,4.90,4.90
2011-11-01 17:00:00,4.90,None,5.30,5.30
2011-10-01 17:00:00,5.30,None,5.20,5.20
2011-09-01 17:00:00,5.20,None,5.20,5.20
2011-08-01 17:00:00,5.20,None,5.00,5.00
2011-07-01 17:00:00,5.00,None,4.80,4.80
2011-06-01 17:00:00,4.80,None,4.90,4.90
2011-05-01 17:00:00,4.90,None,4.70,4.70
2011-04-01 17:00:00,4.70,None,4.40,4.40
2011-03-01 17:00:00,4.40,None,4.00,4.00
2011-02-01 17:00:00,4.00,None,3.40,3.40
2011-01-01 17:00:00,3.40,None,3.00,3.00
2010-12-01 17:00:00,3.00,None,2.90,2.90
2010-11-01 17:00:00,2.90,None,2.70,2.70
2010-10-01 17:00:00,2.70,None,3.00,3.00
2010-09-01 17:00:00,3.00,None,3.00,3.00
2010-08-01 17:00:00,3.00,None,2.80,2.80
2010-07-01 17:00:00,2.80,None,3.00,3.00
2010-06-01 17:00:00,3.00,None,2.90,2.90
2010-05-01 17:00:00,2.90,None,2.50,2.50
2010-04-01 17:00:00,2.50,None,1.80,1.80
2010-03-01 17:00:00,1.80,None,1.50,1.50
2010-02-01 17:00:00,1.50,None,1.20,1.20
2010-01-01 17:00:00,1.20,None,1.00,1.00
2009-12-01 17:00:00,1.00,None,-0.10,-0.10
2009-11-01 17:00:00,-0.10,None,-1.10,-1.10
2009-10-01 17:00:00,-1.10,None,-1.40,-1.40
2009-09-01 17:00:00,-1.40,None,-1.60,-1.60
2009-08-01 17:00:00,-1.60,None,-0.80,-0.80
2009-07-01 17:00:00,-0.80,None,-0.20,-0.20
2009-06-01 17:00:00,-0.20,None,1.10,1.10
2009-05-01 17:00:00,1.10,None,1.70,1.70
2009-04-01 17:00:00,1.70,None,2.90,2.90
2009-03-01 17:00:00,2.90,None,3.30,3.30
2009-02-01 17:00:00,3.30,None,4.40,4.40
2009-01-01 17:00:00,4.40,None,5.00,5.00
2008-12-01 17:00:00,5.00,None,6.60,6.60
2008-11-01 17:00:00,6.60,None,8.30,8.30
2008-10-01 17:00:00,8.30,None,8.60,8.60
2008-09-01 17:00:00,8.60,None,8.90,8.90
2008-08-01 17:00:00,8.90,None,8.40,8.40
2008-07-01 17:00:00,8.40,None,7.70,7.70
2008-06-01 17:00:00,7.70,None,6.50,6.50
2008-05-01 17:00:00,6.50,None,5.90,5.90
2008-04-01 17:00:00,5.90,None,5.40,5.40
2008-03-01 17:00:00,5.40,None,5.30,5.30
2008-02-01 17:00:00,5.30,None,4.60,4.60
2008-01-01 17:00:00,4.60,None,4.40,4.40
2007-12-01 17:00:00,4.40,None,3.50,3.50
2007-11-01 17:00:00,3.50,None,2.40,2.40
2007-10-01 17:00:00,2.40,None,1.70,1.70
2007-09-01 17:00:00,1.70,None,1.70,1.70
2007-08-01 17:00:00,1.70,None,1.70,1.70
2007-07-01 17:00:00,1.70,None,1.60,1.60
2007-06-01 17:00:00,1.60,None,1.60,1.60
2007-05-01 17:00:00,1.60,None,1.80,1.80
2007-04-01 17:00:00,1.80,None,1.50,1.50
2007-03-01 17:00:00,1.50,None,1.20,1.20
2007-02-01 17:00:00,1.20,None,1.50,1.50
2007-01-01 17:00:00,1.50,None,1.10,1.10
2006-12-01 17:00:00,1.10,None,1.00,1.00
2006-11-01 17:00:00,1.00,None,1.50,1.50
2006-10-01 17:00:00,1.50,None,2.30,2.30
2006-09-01 17:00:00,2.30,None,2.30,2.30
2006-08-01 17:00:00,2.30,None,2.60,2.60
2006-07-01 17:00:00,2.60,None,2.70,2.70
2006-06-01 17:00:00,2.70,None,2.10,2.10
2006-05-01 17:00:00,2.10,None,2.10,2.10
2006-04-01 17:00:00,2.10,None,2.40,2.40
2006-03-01 17:00:00,2.40,None,2.70,2.70
2006-02-01 17:00:00,2.70,None,2.00,2.0
2006-01-01 17:00:00,2.0,,1.9,1.9
2005-12-01 17:00:00,1.9,,2.2,2.2
2005-11-01 17:00:00,2.2,,2.3,2.3
2005-10-01 17:00:00,2.3,,2.2,2.2
2005-09-01 17:00:00,2.2,,2.1,2.1
2005-08-01 17:00:00,2.1,,1.6,1.6
2005-07-01 17:00:00,1.6,,1.6,1.6
2005-06-01 17:00:00,1.6,,2.4,2.4
2005-05-01 17:00:00,2.4,,2.0,2.0
2005-04-01 17:00:00,2.0,,1.7,1.7
2005-03-01 17:00:00,1.7,,1.3,1.3
2005-02-01 17:00:00,1.3,,1.5,1.5
2005-01-01 17:00:00,1.5,,1.8,1.8
2004-12-01 17:00:00,1.8,,1.8,1.8
2004-11-01 17:00:00,1.8,,1.7,1.7
2004-10-01 17:00:00,1.7,,1.2,1.2
2004-09-01 17:00:00,1.2,,1.3,1.3
2004-08-01 17:00:00,1.3,,1.2,1.2
2004-07-01 17:00:00,1.2,,1.1,1.1
2004-06-01 17:00:00,1.1,,0.2,0.2
2004-05-01 17:00:00,0.2,,-0.2,-0.2
2004-04-01 17:00:00,-0.2,,0.1,0.1
2004-03-01 17:00:00,0.1,,0.2,0.2
2004-02-01 17:00:00,0.2,,0.5,0.5
2004-01-01 17:00:00,0.5,,0.6,0.6
2003-12-01 17:00:00,0.6,,0.4,0.4
2003-11-01 17:00:00,0.4,,0.4,0.4
2003-10-01 17:00:00,0.4,,0.6,0.6
2003-09-01 17:00:00,0.6,,0.5,0.5
2003-08-01 17:00:00,0.5,,0.4,0.4
2003-07-01 17:00:00,0.4,,0.4,0.4
2003-06-01 17:00:00,0.4,,0.8,0.8
2003-05-01 17:00:00,0.8,,1.6,1.6
2003-04-01 17:00:00,1.6,,1.1,1.1
2003-03-01 17:00:00,1.1,,1.0,1.0
2003-02-01 17:00:00,1.0,,0.8,0.8
2003-01-01 17:00:00,0.8,,0.7,0.7
2002-12-01 17:00:00,0.7,,0.2,0.2
2002-11-01 17:00:00,0.2,,0.0,0.0
2002-10-01 17:00:00,0.0,,-0.1,-0.1
2002-09-01 17:00:00,-0.1,,-0.2,-0.2
2002-08-01 17:00:00,-0.2,,-0.4,-0.4
2002-07-01 17:00:00,-0.4,,-0.5,-0.5
2002-06-01 17:00:00,-0.5,,-0.2,-0.2
2002-05-01 17:00:00,-0.2,,-0.6,-0.6
2002-04-01 17:00:00,-0.6,,-0.6,-0.6
2002-03-01 17:00:00,-0.6,,-0.7,-0.7
2002-02-01 17:00:00,-0.7,,-1.2,-1.2
2002-01-01 17:00:00,-1.2,,-1.4,-1.4
2001-12-01 17:00:00,-1.4,,-0.9,-0.9
2001-11-01 17:00:00,-0.9,,-0.6,-0.6
2001-10-01 17:00:00,-0.6,,-0.4,-0.4
2001-09-01 17:00:00,-0.4,,-0.6,-0.6
2001-08-01 17:00:00,-0.6,,-0.2,-0.2
2001-07-01 17:00:00,-0.2,,0.2,0.2
2001-06-01 17:00:00,0.2,,-0.1,-0.1
2001-05-01 17:00:00,-0.1,,0.2,0.2
2001-04-01 17:00:00,0.2,,0.6,0.6
2001-03-01 17:00:00,0.6,,0.8,0.8
2001-02-01 17:00:00,0.8,,1.3,1.3
2001-01-01 17:00:00,1.3,,1.7,1.7
2000-12-01 17:00:00,1.7,,1.7,1.7
2000-11-01 17:00:00,1.7,,1.4,1.4
2000-10-01 17:00:00,1.4,,1.4,1.4
2000-09-01 17:00:00,1.4,,1.8,1.8
2000-08-01 17:00:00,1.8,,1.6,1.6
2000-07-01 17:00:00,1.6,,1.2,1.2
2000-06-01 17:00:00,1.2,,1.2,1.2
2000-05-01 17:00:00,1.2,,1.2,1.2
2000-04-01 17:00:00,1.2,,1.2,1.2
2000-03-01 17:00:00,1.2,,1.3,1.3
2000-02-01 17:00:00,1.3,,1.2,1.2
2000-01-01 17:00:00,1.2,,1.1,1.1
1999-12-01 17:00:00,1.1,,1.0,1.0
1999-11-01 17:00:00,1.0,,1.0,1.0
1999-10-01 17:00:00,1.0,,0.6,0.6
1999-09-01 17:00:00,0.6,,0.6,0.6
1999-08-01 17:00:00,0.6,,0.6,0.6
1999-07-01 17:00:00,0.6,,0.5,0.5
1999-06-01 17:00:00,0.5,,0.6,0.6
1999-05-01 17:00:00,0.6,,0.2,0.2
1999-04-01 17:00:00,0.2,,-0.1,-0.1
1999-03-01 17:00:00,-0.1,,-0.7,-0.7
1999-02-01 17:00:00,-0.7,,-0.7,-0.7
1999-01-01 17:00:00,-0.7,,-0.5,-0.5
1998-12-01 17:00:00,-0.5,,-0.4,-0.4
1998-11-01 17:00:00,-0.4,,-0.4,-0.4
1998-10-01 17:00:00,-0.4,,-0.1,-0.1
1998-09-01 17:00:00,-0.1,,0.1,0.1
1998-08-01 17:00:00,0.1,,0.5,0.5
1998-07-01 17:00:00,0.5,,0.6,0.6
1998-06-01 17:00:00,0.6,,0.5,0.5
1998-05-01 17:00:00,0.5,,0.5,0.5
1998-04-01 17:00:00,0.5,,0.2,0.2
1998-03-01 17:00:00,0.2,,0.5,0.5
1998-02-01 17:00:00,0.5,,0.7,0.7
1998-01-01 17:00:00,0.7,,0.7,0.7
1997-12-01 17:00:00,0.7,,1.0,1.0
1997-11-01 17:00:00,1.0,,1.0,1.0
1997-10-01 17:00:00,1.0,,1.2,1.2
1997-09-01 17:00:00,1.2,,1.2,1.2
1997-08-01 17:00:00,1.2,,0.9,0.9
1997-07-01 17:00:00,0.9,,0.6,0.6
1997-06-01 17:00:00,0.6,,0.6,0.6
1997-05-01 17:00:00,0.6,,0.9,0.9
1997-04-01 17:00:00,0.9,,1.2,1.2
1997-03-01 17:00:00,1.2,,1.6,1.6
1997-02-01 17:00:00,1.6,,2.7,2.7
1997-01-01 17:00:00,2.7,,3.3,3.3
1996-12-01 17:00:00,3.3,,3.1,3.1
1996-11-01 17:00:00,3.1,,3.2,3.2
1996-10-01 17:00:00,3.2,,2.9,2.9
1996-09-01 17:00:00,2.9,,2.9,2.9
1996-08-01 17:00:00,2.9,,3.3,3.3
1996-07-01 17:00:00,3.3,,3.6,3.6
1996-06-01 17:00:00,3.6,,4.0,4.0
1996-05-01 17:00:00,4.0,,4.0,4.0
1996-04-01 17:00:00,4.0,,4.1,4.1
1996-03-01 17:00:00,4.1,,4.2,4.2
1996-02-01 17:00:00,4.2,,4.2,4.2
1996-01-01 17:00:00,4.2,,3.9,3.9
1995-12-01 17:00:00,3.9,,4.2,4.2
1995-11-01 17:00:00,4.2,,4.2,4.2
1995-10-01 17:00:00,4.2,,4.2,4.2
1995-09-01 17:00:00,4.2,,4.2,4.2
1995-08-01 17:00:00,4.2,,4.1,4.1
1995-07-01 17:00:00,4.1,,4.0,4.0
1995-06-01 17:00:00,4.0,,4.0,4.0
1995-05-01 17:00:00,4.0,,3.9,3.9
1995-04-01 17:00:00,3.9,,3.7,3.7
1995-03-01 17:00:00,3.7,,3.6,3.6
1995-02-01 17:00:00,3.6,,2.5,2.5
1995-01-01 17:00:00,2.5,,2.6,2.6
1994-12-01 17:00:00,2.6,,2.3,2.3
1994-11-01 17:00:00,2.3,,2.3,2.3
1994-10-01 17:00:00,2.3,,2.2,2.2
1994-09-01 17:00:00,2.2,,2.1,2.1
1994-08-01 17:00:00,2.1,,2.1,2.1
1994-07-01 17:00:00,2.1,,2.2,2.2
1994-06-01 17:00:00,2.2,,2.1,2.1
1994-05-01 17:00:00,2.1,,2.6,2.6
1994-04-01 17:00:00,2.6,,3.2,3.2
1994-03-01 17:00:00,3.2,,3.7,3.7
1994-02-01 17:00:00,3.7,,4.1,4.1
1994-01-01 17:00:00,4.1,,3.6,3.6
1993-12-01 17:00:00,3.6,,4.0,4.0
1993-11-01 17:00:00,4.0,,4.4,4.4
1993-10-01 17:00:00,4.4,,4.4,4.4
1993-09-01 17:00:00,4.4,,4.1,4.1
1993-08-01 17:00:00,4.1,,4.0,4.0
1993-07-01 17:00:00,4.0,,4.0,4.0
1993-06-01 17:00:00,4.0,,4.0,4.0
1993-05-01 17:00:00,4.0,,3.7,3.7
1993-04-01 17:00:00,3.7,,3.7,3.7
1993-03-01 17:00:00,3.7,,3.5,3.5
1993-02-01 17:00:00,3.5,,3.4,
