datetime,AUS_UER_MoM_Actual,AUS_UER_MoM_Srv_Med,AUS_UER_MoM_Revised,AUS_UER_MoM_Prior
2015-03-12 08:30:00,6.3,6.3,6.4,6.4
2015-02-12 08:30:00,6.4,6.2,6.1,6.1
2015-01-15 08:30:00,6.1,6.3,6.2,6.3
2014-12-11 08:30:00,6.3,6.3,6.2,6.2
2014-11-06 08:30:00,6.2,6.1,6.2,6.1
2014-10-09 08:30:00,6.1,6.1,6.0,6.1
2014-09-11 09:30:00,6.1,6.3,6.4,6.4
2014-08-07 09:30:00,6.4,6.0,6.0,6.0
2014-07-10 09:30:00,6.0,5.9,5.9,5.8
2014-06-12 09:30:00,5.8,5.9,5.8,5.8
2014-05-08 09:30:00,5.8,5.9,5.8,5.8
2014-04-10 09:30:00,5.8,6.0,6.1,6.0
2014-03-13 08:30:00,6.0,6.0,6.0,6.0
2014-02-13 08:30:00,6.0,5.8,5.8,5.8
2014-01-16 08:30:00,5.8,5.8,5.8,5.8
2013-12-12 08:30:00,5.8,5.8,5.7,5.7
2013-11-07 08:30:00,5.7,5.7,5.7,5.6
2013-10-10 08:30:00,5.6,5.8,5.8,5.8
2013-09-12 09:30:00,5.8,5.8,5.7,5.7
2013-08-08 09:30:00,5.7,5.8,5.7,5.7
2013-07-11 09:30:00,5.7,5.6,5.6,5.5
2013-06-13 09:30:00,5.5,5.6,5.6,5.5
2013-05-09 09:30:00,5.5,5.6,5.6,5.6
2013-04-11 09:30:00,5.6,5.4,5.4,5.4
2013-03-14 08:30:00,5.4,5.5,5.4,5.4
2013-02-07 08:30:00,5.4,5.5,5.4,5.4
2013-01-17 08:30:00,5.4,5.4,5.3,5.2
2012-12-06 08:30:00,5.2,5.5,5.4,5.4
2012-11-08 08:30:00,5.4,5.5,5.4,5.4
2012-10-11 08:30:00,5.4,5.3,5.1,5.1
2012-09-06 09:30:00,5.1,5.3,5.2,5.2
2012-08-09 09:30:00,5.2,5.3,5.3,5.2
2012-07-12 09:30:00,5.2,5.2,5.1,5.1
2012-06-07 09:30:00,5.1,5.1,5.0,4.9
2012-05-10 09:30:00,4.9,5.3,5.2,5.2
2012-04-12 09:30:00,5.2,5.3,5.2,5.2
2012-03-08 08:30:00,5.2,5.2,5.1,5.1
2012-02-16 08:30:00,5.1,5.3,5.2,5.2
2012-01-19 08:30:00,5.2,5.3,5.2,5.3
2011-12-08 08:30:00,5.3,5.2,5.2,5.2
2011-11-10 08:30:00,5.2,5.3,5.3,5.2
2011-10-13 08:30:00,5.2,5.3,5.3,5.3
2011-09-08 09:30:00,5.3,5.1,5.1,5.1
2011-08-11 09:30:00,5.1,4.9,4.9,4.9
2011-07-07 09:30:00,4.9,4.9,4.9,4.9
2011-06-09 09:30:00,4.9,4.9,4.9,4.9
2011-05-12 09:30:00,4.9,4.9,4.9,4.9
2011-04-07 09:30:00,4.9,5.0,5.0,5.0
2011-03-10 08:30:00,5.0,5.0,5.0,5.0
2011-02-10 08:30:00,5.0,5.0,5.0,5.0
2011-01-13 08:30:00,5.0,5.1,5.2,5.2
2010-12-09 08:30:00,5.2,5.2,5.4,5.4
2010-11-11 08:30:00,5.4,5.0,5.1,5.1
2010-10-07 08:30:00,5.1,5.1,5.1,5.1
2010-09-09 09:30:00,5.1,5.2,5.3,5.3
2010-08-12 09:30:00,5.3,5.1,5.1,5.1
2010-07-08 09:30:00,5.1,5.2,5.1,5.2
2010-06-10 09:30:00,5.2,5.4,5.4,5.4
2010-05-13 09:30:00,5.4,5.3,5.4,5.3
2010-04-08 09:30:00,5.3,5.3,5.3,5.3
2010-03-11 08:30:00,5.3,5.3,5.2,5.3
2010-02-11 08:30:00,5.3,5.6,5.5,5.5
2010-01-14 08:30:00,5.5,5.8,5.6,5.7
2009-12-10 08:30:00,5.7,5.9,5.8,5.8
2009-11-12 08:30:00,5.8,5.8,5.7,5.7
2009-10-08 08:30:00,5.7,6.0,5.8,5.8
2009-09-10 09:30:00,5.8,5.9,5.8,5.8
2009-08-06 09:30:00,5.8,6.0,5.8,5.8
2009-07-09 09:30:00,5.8,5.9,5.7,5.7
2009-06-11 09:30:00,5.7,5.7,5.5,5.4
2009-05-07 09:30:00,5.4,5.9,5.7,5.7
2009-04-09 09:30:00,5.7,5.4,5.2,5.2
2009-03-12 08:30:00,5.2,5.0,4.8,4.8
2009-02-12 08:30:00,4.8,4.7,4.5,4.5
2009-01-15 08:30:00,4.5,4.5,4.4,4.4
2008-12-11 08:30:00,4.4,4.4,4.3,4.3
2008-11-06 08:30:00,4.3,4.4,4.3,4.3
2008-10-09 08:30:00,4.3,4.3,4.1,4.1
2008-09-11 09:30:00,4.1,4.4,4.3,
