datetime,GE_SPMI_MoM_Actual,GE_SPMI_MoM_Srv_Med,GE_SPMI_MoM_Revised,GE_SPMI_MoM_Prior,Is_P
2017-08-23 15:30:00,53.4,53.3,53.1,53.5,1
2017-08-03 15:55:00,53.1,53.5,53.5,54.0,0
2012-11-06 16:55:00,48.4,49.3,49.3,49.7,0
2017-07-24 15:30:00,53.5,54.3,54.0,53.7,1
2012-10-24 15:28:00,49.3,50.0,49.7,50.6,1
2017-07-05 15:55:00,54.0,53.7,53.7,55.4,0
2012-10-03 15:55:00,49.7,50.6,50.6,48.3,0
2012-09-20 15:28:00,50.6,48.5,48.3,48.3,1
2017-06-23 15:30:00,53.7,55.5,55.4,55.2,1
2012-09-05 15:55:00,48.3,48.3,48.3,50.3,0
2017-06-05 15:55:00,55.4,55.2,55.2,55.4,0
2012-08-23 15:28:00,48.3,50.0,50.3,49.7,1
2017-05-23 15:30:00,55.2,55.5,55.4,54.7,1
2012-08-03 15:55:00,50.3,49.7,49.7,49.9,0
2017-05-04 15:55:00,55.4,54.7,54.7,55.6,0
2012-07-24 15:28:00,49.7,50.0,49.9,50.3,1
2017-04-21 15:30:00,54.7,55.5,55.6,55.6,1
2017-04-05 15:55:00,55.6,55.6,55.6,54.4,0
2012-07-04 15:55:00,49.9,50.3,50.3,51.8,0
2017-03-24 16:30:00,55.6,54.6,54.4,54.4,1
2012-06-21 15:28:00,50.3,51.5,51.8,52.2,1
2017-03-03 16:55:00,54.4,54.4,54.4,53.4,0
2012-06-05 15:55:00,51.8,52.2,52.2,52.2,0
2017-02-21 16:30:00,54.4,53.6,53.4,53.2,1
2012-05-24 15:28:00,52.2,52.0,52.2,52.6,1
2017-02-03 16:55:00,53.4,53.2,53.2,54.3,0
2012-05-04 15:55:00,52.2,52.6,52.6,52.1,0
2017-01-24 16:30:00,53.2,54.5,54.3,53.8,1
2012-04-23 15:28:00,52.6,52.3,52.1,51.8,1
2012-04-04 15:55:00,52.1,51.8,51.8,52.8,0
2017-01-04 16:55:00,54.3,53.8,53.8,55.1,0
2016-12-15 16:30:00,53.8,54.9,55.1,55.0,1
2012-03-22 16:28:00,51.8,53.0,52.8,52.6,1
2012-03-05 16:55:00,52.8,52.6,52.6,53.7,0
2016-12-05 16:55:00,55.1,55.0,55.0,54.2,0
2016-11-23 16:30:00,55.0,54.0,54.2,54.1,1
2012-02-22 16:30:00,52.6,53.8,53.7,54.5,1
2016-11-04 16:55:00,54.2,54.1,54.1,50.9,0
2012-02-03 16:55:00,53.7,54.5,54.5,52.4,0
2012-01-24 16:30:00,54.5,52.6,52.4,51.4,1
2016-10-24 15:30:00,54.1,51.5,50.9,50.6,1
2016-10-05 15:55:00,50.9,50.6,50.6,51.7,0
2012-01-04 16:55:00,52.4,52.7,52.7,52.7,0
2016-09-23 15:30:00,50.6,52.1,51.7,53.3,1
2011-12-15 16:30:00,52.7,50.1,50.3,50.3,0
2016-09-05 15:55:00,51.7,53.3,53.3,54.4,0
2011-12-05 16:55:00,50.3,51.4,51.4,50.6,0
2011-11-23 16:30:00,51.4,50.2,50.6,52.1,1
2016-08-23 15:30:00,53.3,54.4,54.4,54.6,1
2011-11-04 16:55:00,50.6,52.1,52.1,49.7,0
2016-08-03 15:55:00,54.4,54.6,54.6,53.7,0
2016-07-22 15:30:00,54.6,53.2,53.7,53.2,1
2011-10-24 15:30:00,52.1,49.8,49.7,50.3,1
2011-10-05 15:55:00,49.7,50.3,50.3,51.1,0
2016-07-05 15:55:00,53.7,53.2,53.2,55.2,0
2011-09-22 15:30:00,50.3,50.6,51.1,50.4,1
2016-06-23 15:30:00,53.2,55.0,55.2,55.2,1
