datetime,US_EROPC_WoW_Actual,US_EROPC_WoW_Srv_Med,US_EROPC_WoW_Revised,US_EROPC_WoW_Prior
2016-12-14 23:30:00,-0.074,,-0.133,-0.133
2016-12-07 23:30:00,-0.133,,0.136,0.136
2016-11-30 23:30:00,0.136,,0.096,0.096
2016-11-23 23:30:00,0.096,,0.2,0.200
2016-11-16 23:30:00,0.200,,0.122,0.122
2016-11-09 23:30:00,0.122,,0.126,0.126
2016-11-02 22:30:00,0.126,,-0.063,-0.063
2016-10-26 22:30:00,-0.063,,0.103,0.103
2016-10-19 22:30:00,0.103,,-0.217,-0.217
2016-10-13 23:00:00,-0.217,,0.004,0.004
2016-10-05 22:30:00,0.004,,-0.269,-0.269
2016-09-28 22:30:00,-0.269,,0.045,0.045
2016-09-21 22:30:00,0.045,,-0.098,-0.098
2016-09-14 22:30:00,-0.098,,0.058,0.058
2016-09-08 23:00:00,0.058,,0.124,0.124
2016-08-31 22:30:00,0.124,,-0.09,0.236
