datetime,US_RPI_MoM_Actual,US_RPI_MoM_Srv_Med,US_RPI_MoM_Revised,US_RPI_MoM_Prior
12/1/2007 17:00,-0.6,None,-0.5,-0.5
11/1/2007 17:00,-0.5,None,-0.2,-0.2
10/1/2007 17:00,-0.2,None,0.1,0.1
9/1/2007 17:00,0.1,None,-0.2,-0.2
8/1/2007 17:00,-0.2,None,0.3,0.3
7/1/2007 17:00,0.3,None,0.2,0.2
6/1/2007 17:00,0.2,None,-0.3,-0.3
5/1/2007 17:00,-0.3,None,0.2,0.2
4/1/2007 17:00,0.2,None,0,0
3/1/2007 17:00,0,None,-0.6,-0.6
2/1/2007 17:00,-0.6,None,0.5,0.5
1/1/2007 17:00,0.5,None,0.1,0.1
12/1/2006 17:00,0.1,None,0.6,0.6
11/1/2006 17:00,0.6,None,0.9,0.9
10/1/2006 17:00,0.9,None,-0.3,-0.3
9/1/2006 17:00,-0.3,None,-0.5,-0.5
8/1/2006 17:00,-0.5,None,0.5,0.5
7/1/2006 17:00,0.5,None,-0.7,-0.7
