datetime,US_RC_Actual,US_RC_Srv_Med,US_RC_Revised,US_RC_Prior
3/1/2006 17:00,0.1,,1.4,1.4
2/1/2006 17:00,1.4,,0.2,0.2
1/1/2006 17:00,0.2,,0.2,0.2
12/1/2005 17:00,0.2,,1.5,1.5
11/1/2005 17:00,1.5,,0.3,0.3
10/1/2005 17:00,0.3,,0.9,0.9
9/1/2005 17:00,0.9,,-0.2,-0.2
8/1/2005 17:00,-0.2,,1.1,1.1
7/1/2005 17:00,1.1,,-0.5,-0.5
6/1/2005 17:00,-0.5,,1.6,1.6
5/1/2005 17:00,1.6,,-0.5,-0.5
4/1/2005 17:00,-0.5,,0.7,0.7
3/1/2005 17:00,0.7,,0.6,0.6
2/1/2005 17:00,0.6,,0.8,0.8
1/1/2005 17:00,0.8,,0.4,0.4
12/1/2004 17:00,0.4,,0.9,0.9
11/1/2004 17:00,0.9,,0.6,0.6
10/1/2004 17:00,0.6,,0.3,0.3
9/1/2004 17:00,0.3,,0.8,0.8
8/1/2004 17:00,0.8,,-0.3,-0.3
7/1/2004 17:00,-0.3,,0.7,0.7
6/1/2004 17:00,0.7,,-0.4,-0.4
5/1/2004 17:00,-0.4,,1,1
4/1/2004 17:00,1,,-0.1,-0.1
3/1/2004 17:00,-0.1,,0.8,0.8
2/1/2004 17:00,0.8,,0.2,0.2
1/1/2004 17:00,0.2,,0.5,0.5
12/1/2003 17:00,0.5,,0,0
11/1/2003 17:00,0,,0.1,0.1
10/1/2003 17:00,0.1,,1,1
9/1/2003 17:00,1,,0.9,0.9
8/1/2003 17:00,0.9,,1.1,1.1
7/1/2003 17:00,1.1,,0.4,0.4
6/1/2003 17:00,0.4,,0,0
5/1/2003 17:00,0,,0.8,0.8
4/1/2003 17:00,0.8,,-0.3,-0.3
3/1/2003 17:00,-0.3,,0.1,0.1
2/1/2003 17:00,0.1,,0.3,0.3
1/1/2003 17:00,0.3,,0.3,0.3
12/1/2002 17:00,0.3,,1,1
11/1/2002 17:00,1,,-0.2,-0.2
10/1/2002 17:00,-0.2,,0.1,0.1
9/1/2002 17:00,0.1,,-0.1,-0.1
8/1/2002 17:00,-0.1,,0.2,0.2
7/1/2002 17:00,0.2,,-0.1,-0.1
6/1/2002 17:00,-0.1,,0.5,0.5
5/1/2002 17:00,0.5,,0.2,0.2
4/1/2002 17:00,0.2,,0.5,0.5
3/1/2002 17:00,0.5,,0,0
2/1/2002 17:00,0,,0.4,0.4
1/1/2002 17:00,0.4,,0.8,0.8
12/1/2001 17:00,0.8,,1.8,1.8
11/1/2001 17:00,1.8,,-1.7,-1.7
10/1/2001 17:00,-1.7,,0.7,0.7
9/1/2001 17:00,0.7,,0.6,0.6
8/1/2001 17:00,0.6,,0,0
7/1/2001 17:00,0,,-0.3,-0.3
6/1/2001 17:00,-0.3,,1,1
