datetime,CAD_CPI_MoM_Actual,CAD_CPI_MoM_Srv_Med,CAD_CPI_MoM_Revised,CAD_CPI_MoM_Prior
1/25/2011 20:00,0,0.2,0.1,0.1
12/21/2010 20:00,0.1,0.3,0.4,0.4
11/23/2010 20:00,0.4,0.2,0.2,0.2
10/22/2010 19:00,0.2,0.2,-0.1,-0.1
9/21/2010 19:00,-0.1,0,0.5,0.5
8/20/2010 19:00,0.5,0,-0.1,-0.1
7/23/2010 19:00,-0.1,-0.2,0.3,0.3
6/22/2010 19:00,0.3,0,0.3,0.3
5/21/2010 19:00,0.3,0.3,0,0
4/23/2010 19:00,0,0.2,0.4,0.4
3/19/2010 19:00,0.4,0.4,0.3,0.3
2/18/2010 20:00,0.3,0.3,-0.3,-0.3
1/20/2010 20:00,-0.3,0.2,0.5,0.5
12/17/2009 20:00,0.5,0.4,-0.1,-0.1
11/18/2009 20:00,-0.1,0.2,0,0
10/16/2009 19:00,0,0,0,0
9/17/2009 19:00,0,0.3,-0.3,-0.3
8/19/2009 19:00,-0.3,-0.2,0.3,0.3
7/17/2009 19:00,0.3,0.3,0.7,0.7
6/18/2009 19:00,0.7,0.4,-0.1,-0.1
5/20/2009 19:00,-0.1,0.2,0.2,0.2
4/17/2009 19:00,0.2,0.3,0.7,0.7
3/19/2009 19:00,0.7,0.2,-0.3,-0.3
2/20/2009 20:00,-0.3,-0.3,-0.7,-0.7
1/23/2009 20:00,-0.7,-0.6,-0.3,-0.3
12/19/2008 20:00,-0.3,-0.8,-1,-1
11/21/2008 20:00,-1,-0.6,0.1,0.1
10/24/2008 19:00,0.1,-0.1,-0.2,0.2
9/23/2008 19:00,0.2,-0.2,0.3,0.3
8/21/2008 19:00,0.3,0.3,0.7,0.7
7/23/2008 19:00,0.7,0.5,1,1
6/19/2008 19:00,1,0.6,0.8,0.8
5/21/2008 20:00,0.8,0.4,0.4,0.4
4/17/2008 19:00,0.4,0.5,0.4,0.4
3/18/2008 19:00,0.4,0.3,-0.2,-0.2
2/19/2008 20:00,-0.2,-0.1,0.1,0.1
1/1/2008 17:00,0.1,None,0.3,0.3
12/1/2007 17:00,0.3,None,-0.3,-0.3
11/1/2007 17:00,-0.3,None,0.2,0.2
10/1/2007 17:00,0.2,None,-0.3,-0.3
9/1/2007 17:00,-0.3,None,0.1,0.1
8/1/2007 17:00,0.1,None,-0.2,-0.2
7/1/2007 17:00,-0.2,None,0.4,0.4
6/1/2007 17:00,0.4,None,0.5,0.5
5/1/2007 17:00,0.5,None,0.8,0.8
4/1/2007 17:00,0.8,None,0.7,0.7
3/1/2007 17:00,0.7,None,0,0
2/1/2007 17:00,0,None,0.2,0.2
1/1/2007 17:00,0.2,None,0.2,0.2
12/1/2006 17:00,0.2,None,-0.2,-0.2
11/1/2006 17:00,-0.2,None,-0.5,-0.5
10/1/2006 17:00,-0.5,None,0.2,0.2
9/1/2006 17:00,0.2,None,0.1,0.1
8/1/2006 17:00,0.1,None,-0.2,-0.2
7/1/2006 17:00,-0.2,None,0.5,0.5
6/1/2006 17:00,0.5,None,0.6,0.6
5/1/2006 17:00,0.6,None,0.6,0.6
4/1/2006 17:00,0.6,None,-0.2,-0.2
3/1/2006 17:00,-0.2,None,0.6,0.6
2/1/2006 17:00,0.6,,-0.1,-0.1
1/1/2006 17:00,-0.1,,-0.2,-0.2
12/1/2005 17:00,-0.2,,-0.5,-0.5
11/1/2005 17:00,-0.5,,0.8,0.8
10/1/2005 17:00,0.8,,0.4,0.4
9/1/2005 17:00,0.4,,0.2,0.2
8/1/2005 17:00,0.2,,0.2,0.2
7/1/2005 17:00,0.2,,0.1,0.1
6/1/2005 17:00,0.1,,0.3,0.3
5/1/2005 17:00,0.3,,0.6,0.6
4/1/2005 17:00,0.6,,0.4,0.4
3/1/2005 17:00,0.4,,-0.1,-0.1
2/1/2005 17:00,-0.1,,-0.2,-0.2
1/1/2005 17:00,-0.2,,0.4,0.4
12/1/2004 17:00,0.4,,0.2,0.2
11/1/2004 17:00,0.2,,0.2,0.2
10/1/2004 17:00,0.2,,-0.2,-0.2
9/1/2004 17:00,-0.2,,-0.1,-0.1
8/1/2004 17:00,-0.1,,0.1,0.1
7/1/2004 17:00,0.1,,0.9,0.9
6/1/2004 17:00,0.9,,0.2,0.2
5/1/2004 17:00,0.2,,0.4,0.4
4/1/2004 17:00,0.4,,0.2,0.2
3/1/2004 17:00,0.2,,0.1,0.1
2/1/2004 17:00,0.1,,0.1,0.1
1/1/2004 17:00,0.1,,0.3,0.3
12/1/2003 17:00,0.3,,-0.3,-0.3
11/1/2003 17:00,-0.3,,0.2,0.2
10/1/2003 17:00,0.2,,0.3,0.3
9/1/2003 17:00,0.3,,0.1,0.1
8/1/2003 17:00,0.1,,0,0
7/1/2003 17:00,0,,0.1,0.1
6/1/2003 17:00,0.1,,-0.7,-0.7
5/1/2003 17:00,-0.7,,0.3,0.3
4/1/2003 17:00,0.3,,0.8,0.8
3/1/2003 17:00,0.8,,0.9,0.9
2/1/2003 17:00,0.9,,-0.4,-0.4
1/1/2003 17:00,-0.4,,0.3,0.3
12/1/2002 17:00,0.3,,0.3,0.3
11/1/2002 17:00,0.3,,0,0
10/1/2002 17:00,0,,0.4,0.4
9/1/2002 17:00,0.4,,0.6,0.6
8/1/2002 17:00,0.6,,0.2,0.2
7/1/2002 17:00,0.2,,0.2,0.2
6/1/2002 17:00,0.2,,0.6,0.6
5/1/2002 17:00,0.6,,0.7,0.7
4/1/2002 17:00,0.7,,0.6,0.6
3/1/2002 17:00,0.6,,0.2,0.2
2/1/2002 17:00,0.2,,0.2,0.2
1/1/2002 17:00,0.2,,-0.9,-0.9
12/1/2001 17:00,-0.9,,-0.5,-0.5
11/1/2001 17:00,-0.5,,0.2,0.2
10/1/2001 17:00,0.2,,0,0
9/1/2001 17:00,0,,-0.3,-0.3
8/1/2001 17:00,-0.3,,0.1,0.1
7/1/2001 17:00,0.1,,0.8,0.8
6/1/2001 17:00,0.8,,0.7,0.7
5/1/2001 17:00,0.7,,0.3,0.3
4/1/2001 17:00,0.3,,0.5,0.5
3/1/2001 17:00,0.5,,-0.4,-0.4
2/1/2001 17:00,-0.4,,0.1,0.1
1/1/2001 17:00,0.1,,0.3,0.3
12/1/2000 17:00,0.3,,0.2,0.2
11/1/2000 17:00,0.2,,0.4,0.4
10/1/2000 17:00,0.4,,-0.1,-0.1
9/1/2000 17:00,-0.1,,0.3,0.3
8/1/2000 17:00,0.3,,0.6,0.6
7/1/2000 17:00,0.6,,0.4,0.4
6/1/2000 17:00,0.4,,-0.3,-0.3
5/1/2000 17:00,-0.3,,0.7,0.7
4/1/2000 17:00,0.7,,0.6,0.6
3/1/2000 17:00,0.6,,-0.2,-0.2
2/1/2000 17:00,-0.2,,0.1,0.1
1/1/2000 17:00,0.1,,-0.1,-0.1
12/1/1999 17:00,-0.1,,0.1,0.1
11/1/1999 17:00,0.1,,0.3,0.3
10/1/1999 17:00,0.3,,0.2,0.2
9/1/1999 17:00,0.2,,0.2,0.2
