datetime,US_ERCOIC_WoW_Actual,US_ERCOIC_WoW_Srv_Med,US_ERCOIC_WoW_Revised,US_ERCOIC_WoW_Prior
2020-01-24 00:00:00,-0.116,None,0.076,0.076
2020-01-15 23:30:00,0.076,None,-0.386,-0.386
2020-01-08 23:30:00,-0.386,None,0.303,0.303
2020-01-04 00:00:00,0.303,None,0.418,0.418
2019-12-28 00:00:00,0.418,None,-0.035,-0.035
2019-12-18 23:30:00,-0.035,None,-0.201,-0.201
2019-12-11 23:30:00,-0.201,None,0.464,0.464
2019-12-04 23:30:00,0.464,None,-0.101,-0.101
2019-11-27 23:30:00,-0.101,None,0.519,0.519
2019-11-20 23:30:00,0.519,None,0.155,0.155
2019-11-15 00:00:00,0.155,None,-0.237,-0.237
2019-11-06 23:30:00,-0.237,None,0.133,0.133
2019-10-30 22:30:00,0.133,None,0.429,0.429
2019-10-23 22:30:00,0.429,None,-0.220,-0.220
2019-10-17 23:00:00,-0.220,None,-0.361,-0.361
2019-10-09 22:30:00,-0.361,None,-0.496,-0.496
2019-10-02 22:30:00,-0.496,None,-0.194,-0.194
2019-09-25 22:30:00,-0.194,None,-0.788,-0.788
2019-09-18 22:30:00,-0.788,None,0.114,
