datetime,US_NF_EC_MoM_Actual,US_NF_EC_MoM_Srv_Med,US_NF_EC_MoM_Revised,US_NF_EC_MoM_Prior
2005-12-02 20:30:00,337,,84,84
2005-11-04 20:30:00,84,,66,66
2005-10-07 20:30:00,66,,196,196
2005-09-02 20:30:00,196,,375,375
2005-08-05 20:30:00,375,,243,243
2005-07-08 20:30:00,243,,176,176
2005-06-03 20:30:00,176,,363,363
2005-05-06 20:30:00,363,,135,135
2005-04-01 20:30:00,135,,239,239
2005-03-04 20:30:00,239,,134,134
2005-02-04 20:30:00,134,,129,129
2005-01-07 20:30:00,129,,64,64
2004-12-03 20:30:00,64,,345,345
2004-11-05 20:30:00,345,,162,162
2004-10-08 20:30:00,162,,132,132
2004-09-03 20:30:00,132,,33,33
2004-08-06 20:30:00,33,,74,74
2004-07-02 20:30:00,74,,308,308
2004-06-04 20:30:00,308,,248,248
2004-05-07 20:30:00,248,,331,331
2004-04-02 20:30:00,331,,46,46
2004-03-05 20:30:00,46,,160,160
2004-02-06 20:30:00,160,,123,123
2004-01-09 20:30:00,123,,17,17
2003-12-05 20:30:00,17,,196,196
2003-11-07 20:30:00,196,,103,103
2003-10-03 20:30:00,103,,-43,-43
2003-09-05 20:30:00,-43,,24,24
2003-08-01 20:30:00,24,,9,9
2003-07-03 20:30:00,9,,-10,-10
2003-06-06 20:30:00,-10,,-44,-44
2003-05-02 20:30:00,-44,,-210,-210
2003-04-04 20:30:00,-210,,-151,-151
2003-03-07 20:30:00,-151,,91,91
2003-02-07 20:30:00,91,,-157,-157
2003-01-10 20:30:00,-157,,10,10
2002-12-06 20:30:00,10,,125,125
2002-11-01 20:30:00,125,,-60,-60
2002-10-04 20:30:00,-60,,-16,-16
2002-09-06 20:30:00,-16,,-84,-84
2002-08-02 20:30:00,-84,,56,56
2002-07-05 20:30:00,56,,-8,-8
2002-06-07 20:30:00,-8,,-80,-80
2002-05-03 20:30:00,-80,,-20,-20
2002-04-05 20:30:00,-20,,-134,-134
2002-03-08 20:30:00,-134,,-139,-139
2002-02-01 20:30:00,-139,,-171,-171
2002-01-04 20:30:00,-171,,-294,-294
2001-12-07 20:30:00,-294,,-325,-325
2001-11-02 20:30:00,-325,,-241,-241
2001-10-05 20:30:00,-241,,-160,-160
2001-09-07 20:30:00,-160,,-112,-112
2001-08-03 20:30:00,-112,,-131,-131
2001-07-06 20:30:00,-131,,-38,-38
2001-06-01 20:30:00,-38,,-282,-282
2001-05-04 20:30:00,-282,,-25,-25
2001-04-06 20:30:00,-25,,71,71
2001-03-09 20:30:00,71,,-27,-27
2001-02-02 20:30:00,-27,,142,142
2001-01-05 20:30:00,142,,225,225
2000-12-08 20:30:00,225,,-15,-15
2000-11-03 20:30:00,-15,,135,135
2000-10-06 20:30:00,135,,-15,-15
2000-09-01 20:30:00,-15,,179,179
2000-08-04 20:30:00,179,,-47,-47
2000-07-07 20:30:00,-47,,226,226
2000-06-02 20:30:00,226,,287,287
2000-05-05 20:30:00,287,,467,467
2000-04-07 20:30:00,467,,130,130
2000-03-03 20:30:00,130,,231,231
2000-02-04 20:30:00,231,,295,295
2000-01-07 20:30:00,295,,292,292
1999-12-03 20:30:00,292,,400,400
1999-11-05 20:30:00,400,,214,214
1999-10-01 20:30:00,214,,166,166
1999-09-03 20:30:00,166,,319,319
1999-08-06 20:30:00,319,,261,261
1999-07-02 20:30:00,261,,211,211
1999-06-04 20:30:00,211,,376,376
1999-05-07 20:30:00,376,,107,107
1999-04-02 20:30:00,107,,411,411
1999-03-05 20:30:00,411,,125,125
1999-02-05 20:30:00,125,,347,347
1999-01-01 20:30:00,347,,282,282
1998-12-04 20:30:00,282,,198,198
1998-11-06 20:30:00,198,,223,223
1998-10-02 20:30:00,223,,347,347
1998-09-04 20:30:00,347,,124,124
1998-08-07 20:30:00,124,,218,218
1998-07-03 20:30:00,218,,406,406
1998-06-05 20:30:00,406,,279,279
1998-05-01 20:30:00,279,,151,151
1998-04-03 20:30:00,151,,196,196
1998-03-06 20:30:00,196,,276,276
1998-02-06 20:30:00,276,,303,303
1998-01-02 20:30:00,303,,306,306
1997-12-05 20:30:00,306,,341,341
1997-11-07 20:30:00,341,,512,512
1997-10-03 20:30:00,512,,-39,-39
1997-09-05 20:30:00,-39,,313,313
1997-08-01 20:30:00,313,,267,267
1997-07-04 20:30:00,267,,259,259
1997-06-06 20:30:00,259,,292,292
1997-05-02 20:30:00,292,,316,316
1997-04-04 20:30:00,316,,303,303
1997-03-07 20:30:00,303,,235,235
1997-02-07 20:30:00,235,,171,171
1997-01-03 20:30:00,171,,298,298
1996-12-06 20:30:00,298,,250,250
1996-11-01 20:30:00,250,,225,225
1996-10-04 20:30:00,225,,172,172
1996-09-06 20:30:00,172,,256,256
1996-08-02 20:30:00,256,,288,288
1996-07-05 20:30:00,288,,321,321
1996-06-07 20:30:00,321,,164,164
1996-05-03 20:30:00,164,,267,267
1996-04-05 20:30:00,267,,431,431
1996-03-01 20:30:00,431,,-19,-19
1996-02-02 20:30:00,-19,,133,133
1996-01-05 20:30:00,133,,149,149
1995-12-01 20:30:00,149,,154,154
1995-11-03 20:30:00,154,,242,242
1995-10-06 20:30:00,242,,248,248
1995-09-01 20:30:00,248,,102,102
1995-08-04 20:30:00,102,,235,235
1995-07-07 20:30:00,235,,-16,-16
1995-06-02 20:30:00,-16,,162,162
1995-05-05 20:30:00,162,,222,222
1995-04-07 20:30:00,222,,203,203
1995-03-03 20:30:00,203,,326,326
1995-02-03 20:30:00,326,,275,275
1995-01-06 20:30:00,275,,420,420
1994-12-02 20:30:00,420,,213,213
1994-11-04 20:30:00,213,,352,352
1994-10-07 20:30:00,352,,277,277
1994-09-02 20:30:00,277,,378,378
1994-08-05 20:30:00,378,,316,316
1994-07-01 20:30:00,316,,334,334
1994-06-03 20:30:00,334,,349,349
1994-05-06 20:30:00,349,,465,465
1994-04-01 20:30:00,465,,200,200
1994-03-04 20:30:00,200,,272,272
1994-02-04 20:30:00,272,,312,312
1994-01-07 20:30:00,312,,262,262
1993-12-03 20:30:00,262,,286,286
1993-11-05 20:30:00,286,,239,239
1993-10-01 20:30:00,239,,160,160
1993-09-03 20:30:00,160,,298,298
1993-08-06 20:30:00,298,,181,181
1993-07-02 20:30:00,181,,267,267
1993-06-04 20:30:00,267,,308,308
1993-05-07 20:30:00,308,,-49,-49
1993-04-02 20:30:00,-49,,242,
