datetime,CAD_EC_MoM_Actual,CAD_EC_MoM_Srv_Med,CAD_EC_MoM_Revised,CAD_EC_MoM_Prior
1991-01-01 17:00:00,-50.6,,-54.0,-54
1990-12-01 17:00:00,-54,,-50.2,-50.2
1990-11-01 17:00:00,-50.2,,-10.8,-10.8
1990-10-01 17:00:00,-10.8,,-13.3,-13.3
1990-09-01 17:00:00,-13.3,,-20.8,-20.8
1990-08-01 17:00:00,-20.8,,32.5,32.5
1990-07-01 17:00:00,32.5,,-39.4,-39.4
1990-06-01 17:00:00,-39.4,,15.2,15.2
1990-05-01 17:00:00,15.2,,-8.8,-8.8
1990-04-01 17:00:00,-8.8,,33.5,33.5
1990-03-01 17:00:00,33.5,,34.6,34.6
1990-02-01 17:00:00,34.6,,7.1,7.1
1990-01-01 17:00:00,7.1,,25.2,25.2
1989-12-01 17:00:00,25.2,,5.0,5
1989-11-01 17:00:00,5,,0.4,0.4
1989-10-01 17:00:00,0.4,,49.3,49.3
1989-09-01 17:00:00,49.3,,0.4,0.4
1989-08-01 17:00:00,0.4,,17.2,17.2
1989-07-01 17:00:00,17.2,,2.3,2.3
1989-06-01 17:00:00,2.3,,-22.5,-22.5
1989-05-01 17:00:00,-22.5,,45.6,45.6
1989-04-01 17:00:00,45.6,,14.8,14.8
1989-03-01 17:00:00,14.8,,72.6,72.6
1989-02-01 17:00:00,72.6,,53.6,53.6
1989-01-01 17:00:00,53.6,,30.8,30.8
1988-12-01 17:00:00,30.8,,32.2,32.2
1988-11-01 17:00:00,32.2,,12.8,12.8
1988-10-01 17:00:00,12.8,,8.2,8.2
1988-09-01 17:00:00,8.2,,13.7,13.7
1988-08-01 17:00:00,13.7,,18.4,18.4
1988-07-01 17:00:00,18.4,,3.7,3.7
1988-06-01 17:00:00,3.7,,13.4,13.4
1988-05-01 17:00:00,13.4,,20.0,20
1988-04-01 17:00:00,20,,40.7,40.7
1988-03-01 17:00:00,40.7,,18.6,18.6
1988-02-01 17:00:00,18.6,,63.9,63.9
1988-01-01 17:00:00,63.9,,32.0,32
1987-12-01 17:00:00,32,,65.5,65.5
1987-11-01 17:00:00,65.5,,45.7,45.7
1987-10-01 17:00:00,45.7,,30.7,30.7
