datetime,AUS_RS_MoM_Actual,AUS_RS_MoM_Srv_Med,AUS_RS_MoM_Revised,AUS_RS_MoM_Prior,Is_P
2011-09-01 09:30:00,0.5,0.3,-0.1,-0.1,0.0
2011-08-03 09:30:00,-0.1,0.4,-0.6,-0.6,0.0
2011-07-04 09:30:00,-0.6,0.3,1.2,1.1,0.0
2011-06-02 09:30:00,1.1,0.4,-0.3,-0.5,0.0
2011-05-05 09:30:00,-0.5,0.6,0.8,0.5,0.0
2011-03-31 08:30:00,0.5,0.4,0.4,0.4,0.0
2011-03-01 08:30:00,0.4,0.3,0.2,0.2,0.0
2011-02-07 08:30:00,0.2,0.5,0.4,0.3,0.0
2011-01-10 08:30:00,0.3,0.3,-0.8,-1.1,0.0
2010-12-02 08:30:00,-1.1,0.4,0.1,0.3,0.0
2010-11-04 08:30:00,0.3,0.5,0.3,0.3,0.0
2010-10-05 08:30:00,0.3,0.5,0.7,0.7,0.0
2010-08-31 09:30:00,0.7,0.4,0.4,0.2,0.0
2010-08-03 09:30:00,0.2,0.4,0.2,0.2,0.0
2010-07-01 09:30:00,0.2,0.3,0.6,0.6,0.0
2010-06-01 09:30:00,0.6,0.3,0.8,0.3,0.0
2010-05-06 09:30:00,0.3,0.8,-1.2,-1.4,0.0
2010-03-31 08:30:00,-1.4,0.3,1.1,1.2,0.0
2010-03-02 08:30:00,1.2,1.0,-0.9,-0.7,0.0
2010-02-04 08:30:00,-0.7,0.3,1.5,1.4,0.0
2010-01-07 08:30:00,1.4,0.4,0.4,0.3,0.0
2009-12-03 08:30:00,0.3,0.5,-0.2,-0.2,0.0
2009-11-04 08:30:00,-0.2,0.5,0.7,0.9,0.0
2009-09-30 09:30:00,0.9,0.6,-0.9,-1.0,0.0
2009-09-09 09:30:00,-1.0,0.6,-0.8,-1.4,0.0
2009-08-04 09:30:00,-1.4,0.5,1.0,1.0,0.0
2009-07-01 09:30:00,1.0,0.5,0.3,0.3,0.0
2009-06-01 09:30:00,0.3,0.5,2.2,2.2,0.0
