datetime,BOE_RS_YoY_Actual,BOE_RS_YoY_Srv_Med,BOE_RS_YoY_Revised,BOE_RS_YoY_Prior
2007-10-01 17:00:00,3.9,,4.1,4.1
2007-09-01 17:00:00,4.1,,3.8,3.8
2007-08-01 17:00:00,3.8,,4.4,4.4
2007-07-01 17:00:00,4.4,,4.3,4.3
2007-06-01 17:00:00,4.3,,4.5,4.5
2007-05-01 17:00:00,4.5,,4.8,4.8
2007-04-01 17:00:00,4.8,,4.6,4.6
2007-03-01 17:00:00,4.6,,4.2,4.2
2007-02-01 17:00:00,4.2,,4.4,4.4
2007-01-01 17:00:00,4.4,,3.9,3.9
2006-12-01 17:00:00,3.9,,3.7,3.7
2006-11-01 17:00:00,3.7,,3.6,3.6
2006-10-01 17:00:00,3.6,,3.4,3.4
2006-09-01 17:00:00,3.4,,3.3,3.3
2006-08-01 17:00:00,3.3,,3.3,3.3
2006-07-01 17:00:00,3.3,,3.0,3.0
2006-06-01 17:00:00,3.0,,2.6,2.6
2006-05-01 17:00:00,2.6,,2.4,2.4
2006-04-01 17:00:00,2.4,,2.4,2.4
2006-03-01 17:00:00,2.4,,2.4,2.4
2006-02-01 17:00:00,2.4,,2.2,2.2
2006-01-01 17:00:00,2.2,,2.4,2.4
2005-12-01 17:00:00,2.4,,2.5,2.5
2005-11-01 17:00:00,2.5,,2.7,2.7
2005-10-01 17:00:00,2.7,,2.8,2.8
2005-09-01 17:00:00,2.8,,2.9,2.9
2005-08-01 17:00:00,2.9,,2.9,2.9
2005-07-01 17:00:00,2.9,,2.9,2.9
2005-06-01 17:00:00,2.9,,3.2,3.2
2005-05-01 17:00:00,3.2,,3.2,3.2
2005-04-01 17:00:00,3.2,,3.2,3.2
2005-03-01 17:00:00,3.2,,3.2,3.2
2005-02-01 17:00:00,3.2,,3.5,3.5
2005-01-01 17:00:00,3.5,,3.4,3.4
2004-12-01 17:00:00,3.4,,3.3,3.3
2004-11-01 17:00:00,3.3,,3.1,3.1
2004-10-01 17:00:00,3.1,,3.2,3.2
2004-09-01 17:00:00,3.2,,3.0,3.0
