datetime,AUS_EP_MoM_Actual,AUS_EP_MoM_Srv_Med,AUS_EP_MoM_Revised,AUS_EP_MoM_Prior,Is_P
1997-10-01 17:00:00,55.7,,-5.7,-5.7,
1997-09-01 17:00:00,-5.7,,7.3,7.3,
1997-08-01 17:00:00,7.3,,-5.3,-5.3,
1997-07-01 17:00:00,-5.3,,10.2,10.2,
1997-06-01 17:00:00,10.2,,-10.3,-10.3,
1997-05-01 17:00:00,-10.3,,3.4,3.4,
1997-04-01 17:00:00,3.4,,1.1,1.1,
1997-03-01 17:00:00,1.1,,14.2,14.2,
1997-02-01 17:00:00,14.2,,22.2,22.2,
1997-01-01 17:00:00,22.2,,-6.7,-6.7,
1996-12-01 17:00:00,-6.7,,14.0,14.0,
1996-11-01 17:00:00,14.0,,-11.3,-11.3,
1996-10-01 17:00:00,-11.3,,-2.4,-2.4,
1996-09-01 17:00:00,-2.4,,2.8,2.8,
1996-08-01 17:00:00,2.8,,-0.5,-0.5,
1996-07-01 17:00:00,-0.5,,9.7,9.7,
1996-06-01 17:00:00,9.7,,27.6,27.6,
1996-05-01 17:00:00,27.6,,-28.0,-28.0,
1996-04-01 17:00:00,-28.0,,12.1,12.1,
1996-03-01 17:00:00,12.1,,-7.0,-7.0,
1996-02-01 17:00:00,-7.0,,-0.2,-0.2,
1996-01-01 17:00:00,-0.2,,70.8,70.8,
1995-12-01 17:00:00,70.8,,-2.3,-2.3,
1995-11-01 17:00:00,-2.3,,-16.6,-16.6,
1995-10-01 17:00:00,-16.6,,30.3,30.3,
1995-09-01 17:00:00,30.3,,8.6,8.6,
1995-08-01 17:00:00,8.6,,32.0,32.0,
1995-07-01 17:00:00,32.0,,5.9,5.9,
1995-06-01 17:00:00,5.9,,61.8,61.8,
1995-05-01 17:00:00,61.8,,-0.3,-0.3,
1995-04-01 17:00:00,-0.3,,55.3,55.3,
1995-03-01 17:00:00,55.3,,7.2,7.2,
1995-02-01 17:00:00,7.2,,40.3,40.3,
1995-01-01 17:00:00,40.3,,16.7,16.7,
1994-12-01 17:00:00,16.7,,1.5,1.5,
1994-11-01 17:00:00,1.5,,46.4,46.4,
1994-10-01 17:00:00,46.4,,-16.6,-16.6,
1994-09-01 17:00:00,-16.6,,75.3,75.3,
1994-08-01 17:00:00,75.3,,20.2,20.2,
1994-07-01 17:00:00,20.2,,40.1,40.1,
1994-06-01 17:00:00,40.1,,9.0,9.0,
1994-05-01 17:00:00,9.0,,14.8,14.8,
1994-04-01 17:00:00,14.8,,26.4,26.4,
1994-03-01 17:00:00,26.4,,13.4,13.4,
1994-02-01 17:00:00,13.4,,8.9,8.9,
1994-01-01 17:00:00,8.9,,21.7,21.7,
1993-12-01 17:00:00,21.7,,51.2,51.2,
1993-11-01 17:00:00,51.2,,18.7,18.7,
1993-10-01 17:00:00,18.7,,20.9,20.9,
1993-09-01 17:00:00,20.9,,3.6,3.6,
1993-08-01 17:00:00,3.6,,14.0,14.0,
1993-07-01 17:00:00,14.0,,-2.8,-2.8,
1993-06-01 17:00:00,-2.8,,-15.1,-15.1,
1993-05-01 17:00:00,-15.1,,48.0,48.0,
1993-04-01 17:00:00,48.0,,-69.6,-69.6,
1993-03-01 17:00:00,-69.6,,46.8,46.8,
1993-02-01 17:00:00,46.8,,21.5,21.5,
1993-01-01 17:00:00,21.5,,-62.1,-62.1,
1992-12-01 17:00:00,-62.1,,12.1,12.1,
1992-11-01 17:00:00,12.1,,-37.1,-37.1,
1992-10-01 17:00:00,-37.1,,17.2,17.2,
1992-09-01 17:00:00,17.2,,18.5,18.5,
1992-08-01 17:00:00,18.5,,18.5,18.5,
1992-07-01 17:00:00,18.5,,-13.7,-13.7,
1992-06-01 17:00:00,-13.7,,-2.6,-2.6,
1992-05-01 17:00:00,-2.6,,-17.1,-17.1,
1992-04-01 17:00:00,-17.1,,12.4,12.4,
1992-03-01 17:00:00,12.4,,17.4,17.4,
1992-02-01 17:00:00,17.4,,10.3,10.3,
1992-01-01 17:00:00,10.3,,-10.2,-10.2,
1991-12-01 17:00:00,-10.2,,-23.9,-23.9,
1991-11-01 17:00:00,-23.9,,6.5,6.5,
1991-10-01 17:00:00,6.5,,-0.2,-0.2,
1991-09-01 17:00:00,-0.2,,-19.9,-19.9,
1991-08-01 17:00:00,-19.9,,-29.1,-29.1,
1991-07-01 17:00:00,-29.1,,-15.1,-15.1,
1991-06-01 17:00:00,-15.1,,-3.8,-3.8,
1991-05-01 17:00:00,-3.8,,-52.5,-52.5,
1991-04-01 17:00:00,-52.5,,5.1,5.1,
1991-03-01 17:00:00,5.1,,-61.2,-61.2,
1991-02-01 17:00:00,-61.2,,-5.6,-5.6,
1991-01-01 17:00:00,-5.6,,-15.4,-15.4,
1990-12-01 17:00:00,-15.4,,-9.6,-9.6,
1990-11-01 17:00:00,-9.6,,-25.2,-25.2,
1990-10-01 17:00:00,-25.2,,-31.7,-31.7,
1990-09-01 17:00:00,-31.7,,-0.8,-0.8,
1990-08-01 17:00:00,-0.8,,9.7,9.7,
1990-07-01 17:00:00,9.7,,24.3,24.3,
1990-06-01 17:00:00,24.3,,2.3,2.3,
1990-05-01 17:00:00,2.3,,19.0,19.0,
1990-04-01 17:00:00,19.0,,13.5,13.5,
1990-03-01 17:00:00,13.5,,4.4,4.4,
1990-02-01 17:00:00,4.4,,-21.9,-21.9,
1990-01-01 17:00:00,-21.9,,51.8,51.8,
1989-12-01 17:00:00,51.8,,12.8,12.8,
1989-11-01 17:00:00,12.8,,8.9,8.9,
1989-10-01 17:00:00,8.9,,37.1,37.1,
1989-09-01 17:00:00,37.1,,28.5,28.5,
1989-08-01 17:00:00,28.5,,4.6,4.6,
1989-07-01 17:00:00,4.6,,52.5,52.5,
1989-06-01 17:00:00,52.5,,28.3,28.3,
1989-05-01 17:00:00,28.3,,19.4,19.4,
1989-04-01 17:00:00,19.4,,56.7,56.7,
1989-03-01 17:00:00,56.7,,29.7,29.7,
1989-02-01 17:00:00,29.7,,30.4,30.4,
1989-01-01 17:00:00,30.4,,16.5,16.5,
1988-12-01 17:00:00,16.5,,17.5,17.5,
1988-11-01 17:00:00,17.5,,43.7,43.7,
1988-10-01 17:00:00,43.7,,30.5,30.5,
1988-09-01 17:00:00,30.5,,22.6,22.6,
1988-08-01 17:00:00,22.6,,16.1,16.1,
1988-07-01 17:00:00,16.1,,-13.2,-13.2,
1988-06-01 17:00:00,-13.2,,28.8,28.8,
1988-05-01 17:00:00,28.8,,43.7,43.7,
1988-04-01 17:00:00,43.7,,-14.8,-14.8,
1988-03-01 17:00:00,-14.8,,63.4,63.4,
1988-02-01 17:00:00,63.4,,78.5,78.5,
1988-01-01 17:00:00,78.5,,-17.4,-17.4,
1987-12-01 17:00:00,-17.4,,30.6,30.6,
1987-11-01 17:00:00,30.6,,-14.2,-14.2,
1987-10-01 17:00:00,-14.2,,-16.7,-16.7,
1987-09-01 17:00:00,-16.7,,47.6,47.6,
1987-08-01 17:00:00,47.6,,33.3,33.3,
1987-07-01 17:00:00,33.3,,12.2,12.2,
1987-06-01 17:00:00,12.2,,15.0,15.0,
1987-05-01 17:00:00,15.0,,8.8,8.8,
1987-04-01 17:00:00,8.8,,27.6,27.6,
1987-03-01 17:00:00,27.6,,3.7,3.7,
1987-02-01 17:00:00,3.7,,20.3,20.3,
1987-01-01 17:00:00,20.3,,-19.6,-19.6,
1986-12-01 17:00:00,-19.6,,25.4,25.4,
1986-11-01 17:00:00,25.4,,27.6,27.6,
1986-10-01 17:00:00,27.6,,-17.0,-17.0,
1986-09-01 17:00:00,-17.0,,-16.6,-16.6,
1986-08-01 17:00:00,-16.6,,36.6,36.6,
1986-07-01 17:00:00,36.6,,-1.4,-1.4,
1986-06-01 17:00:00,-1.4,,71.1,71.1,
1986-05-01 17:00:00,71.1,,8.3,8.3,
1986-04-01 17:00:00,8.3,,13.8,13.8,
1986-03-01 17:00:00,13.8,,52.4,52.4,
1986-02-01 17:00:00,52.4,,-26.7,-26.7,
1986-01-01 17:00:00,-26.7,,90.1,90.1,
1985-12-01 17:00:00,90.1,,-13.4,-13.4,
1985-11-01 17:00:00,-13.4,,40.4,40.4,
1985-10-01 17:00:00,40.4,,49.1,49.1,
1985-09-01 17:00:00,49.1,,25.8,25.8,
1985-08-01 17:00:00,25.8,,10.4,10.4,
1985-07-01 17:00:00,10.4,,38.4,38.4,
1985-06-01 17:00:00,38.4,,10.7,10.7,
1985-05-01 17:00:00,10.7,,-25.8,-25.8,
1985-04-01 17:00:00,-25.8,,54.5,54.5,
1985-03-01 17:00:00,54.5,,15.3,15.3,
1985-02-01 17:00:00,15.3,,9.6,9.6,
1985-01-01 17:00:00,9.6,,8.4,8.4,
1984-12-01 17:00:00,8.4,,0.7,0.7,
1984-11-01 17:00:00,0.7,,27.3,27.3,
1984-10-01 17:00:00,27.3,,-1.0,-1.0,
1984-09-01 17:00:00,-1.0,,9.7,9.7,
1984-08-01 17:00:00,9.7,,19.9,19.9,
1984-07-01 17:00:00,19.9,,23.0,23.0,
1984-06-01 17:00:00,23.0,,9.7,9.7,
1984-05-01 17:00:00,9.7,,55.6,55.6,
1984-04-01 17:00:00,55.6,,16.9,16.9,
