datetime,RBNZ_RATE_Actual,RBNZ_RATE_Srv_Med,RBNZ_RATE_Revised,RBNZ_RATE_Prior
2001-11-01 17:00:00,5.25,,5.55,5.55
2001-10-01 17:00:00,5.55,,5.75,5.75
2001-09-01 17:00:00,5.75,,5.75,5.75
2001-08-01 17:00:00,5.75,,5.75,5.75
2001-07-01 17:00:00,5.75,,5.87,5.87
2001-06-01 17:00:00,5.87,,6.15,6.15
2001-05-01 17:00:00,6.15,,6.35,6.35
2001-04-01 17:00:00,6.35,,6.5,6.5
2001-03-01 17:00:00,6.5,,6.5,6.5
2001-02-01 17:00:00,6.5,,6.5,6.5
2001-01-01 17:00:00,6.5,,6.5,6.5
2000-12-01 17:00:00,6.5,,6.5,6.5
2000-11-01 17:00:00,6.5,,6.5,6.5
2000-10-01 17:00:00,6.5,,6.5,6.5
2000-09-01 17:00:00,6.5,,6.5,6.5
2000-08-01 17:00:00,6.5,,6.5,6.5
2000-07-01 17:00:00,6.5,,6.24,6.24
2000-06-01 17:00:00,6.24,,5.85,5.85
2000-05-01 17:00:00,5.85,,5.53,5.53
2000-04-01 17:00:00,5.53,,5.25,5.25
2000-03-01 17:00:00,5.25,,5.11,5.11
2000-02-01 17:00:00,5.11,,5.0,5
2000-01-01 17:00:00,5,,4.73,4.73
1999-12-01 17:00:00,4.73,,4.5,4.5
1999-11-01 17:00:00,4.5,,4.5,4.5
1999-10-01 17:00:00,4.5,,4.5,4.5
1999-09-01 17:00:00,4.5,,4.5,4.5
1999-08-01 17:00:00,4.5,,4.5,4.5
1999-07-01 17:00:00,4.5,,4.5,4.5
1999-06-01 17:00:00,4.5,,4.5,4.5
1999-05-01 17:00:00,4.5,,4.5,
