datetime,US_EHOIC_WoW_Actual,US_EHOIC_WoW_Srv_Med,US_EHOIC_WoW_Revised,US_EHOIC_WoW_Prior
2020-11-13 00:00:00,-0.001,,-0.395,-0.395
2020-11-04 23:30:00,-0.395,,-0.299,-0.299
2020-10-28 22:30:00,-0.299,,0.35,0.35
2020-10-21 22:30:00,0.35,,-0.398,-0.398
2020-10-15 23:00:00,-0.398,,0.067,0.067
2020-10-07 22:30:00,0.067,,-0.095,-0.095
2020-09-30 22:30:00,-0.095,,0.527,0.527
2020-09-23 22:30:00,0.527,,0.495,0.495
2020-09-16 22:30:00,0.495,,-0.551,-0.551
2020-09-10 23:00:00,-0.551,,0.28,0.28
2020-09-02 22:30:00,0.28,,0.294,0.294
2020-08-26 22:30:00,0.294,,-0.255,-0.255
2020-08-19 22:30:00,-0.255,,-0.23,-0.23
2020-08-12 22:30:00,-0.23,,0.044,0.044
2020-08-05 22:30:00,0.044,,-0.127,-0.127
2020-07-29 22:30:00,-0.127,,-0.75,-0.75
2020-07-22 22:30:00,-0.75,,0.42,0.42
2020-07-15 22:30:00,0.42,,-0.095,-0.095
2020-07-08 22:30:00,-0.095,,-0.564,-0.564
2020-07-01 22:30:00,-0.564,,0.164,0.164
2020-06-24 22:30:00,0.164,,-0.027,-0.027
2020-06-17 22:30:00,-0.027,,-0.171,-0.171
2020-06-10 22:30:00,-0.171,,0.923,0.923
2020-06-03 22:30:00,0.923,,0.107,0.107
2020-05-28 23:00:00,0.107,,0.209,0.209
2020-05-20 22:30:00,0.209,,-0.605,-0.605
2020-05-13 22:30:00,-0.605,,0.598,0.598
2020-05-06 22:30:00,0.598,,-0.892,-0.892
2020-04-29 22:30:00,-0.892,,0.25,0.25
2020-04-22 22:30:00,0.25,,0.876,0.876
2020-04-15 22:30:00,0.876,,-0.934,-0.934
2020-04-08 22:30:00,-0.934,,-0.175,-0.175
2020-04-01 22:30:00,-0.175,,0.395,0.395
2020-03-25 22:30:00,0.395,,0.612,0.612
2020-03-18 22:30:00,0.612,,-1.034,-1.034
2020-03-11 22:30:00,-1.034,,0.099,0.099
2020-03-04 23:30:00,0.099,,-0.149,-0.149
2020-02-26 23:30:00,-0.149,,-1.024,-1.024
2020-02-21 00:00:00,-1.024,,-0.046,-0.046
2020-02-12 23:30:00,-0.046,,-0.014,-0.014
2020-02-05 23:30:00,-0.014,,-0.106,-0.106
2020-01-29 23:30:00,-0.106,,0.142,0.142
2020-01-24 00:00:00,0.142,,-0.168,-0.168
2020-01-15 23:30:00,-0.168,,-0.084,-0.084
2020-01-08 23:30:00,-0.084,,-0.552,-0.552
2020-01-04 00:00:00,-0.552,,0.588,0.588
2019-12-28 00:00:00,0.588,,-0.268,-0.268
2019-12-18 23:30:00,-0.268,,-0.462,-0.462
2019-12-11 23:30:00,-0.462,,-0.656,-0.656
2019-12-04 23:30:00,-0.656,,0.959,0.959
2019-11-27 23:30:00,0.959,,0.373,0.373
2019-11-20 23:30:00,0.373,,-0.407,-0.407
2019-11-15 00:00:00,-0.407,,0.106,0.106
